Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	199.300618017696	199.997903670276	197.429395101597	200.117899871297	199.276265623895	199.038927539588
Stddev (Average Daily Max DO)	0.0200844926888588	0.808882128984951	0.153983150998735	0.770392463752458	0.318747378558832	0.23695434275318
Average Daily Min DO [umol kg^-1]	181.052776630332	181.338037617803	175.77122019407	179.487953414733	183.042561814316	178.711883216729
Stddev (Average Daily Min DO)	1.36932837374192	8.13768412639848	1.28337080164842	1.21633217956991	7.30559176462328	1.06124504732023
Average Daily Production Rate [umol kg^-1 min^-1]	0.214549691341986	0.269494299257019	0.248083599168737	0.243273141499756	0.229036457666993	0.234511444659375
Stddev (Average Daily Production Rate)	0.00669090248844477	0.0150020401824996	0.025945491764971	0.00269318732413889	0.00152440232179773	0.0156166517182957
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.15689822000572	-0.21591101025218	-0.193523946406771	-0.17332729463709	-0.188287071912005	-0.182490399115466
Stddev (Average Daily Consumption Rate)	0.0586466674404666	0.0869051207089539	0.0834431325293015	0.0623763253067895	0.0745748272574143	0.0710887961496578
Average Total DO [umol kg^-1]	191.584174086554	189.94587524682	188.391123950479	191.352689553772	190.529376321948	190.433736071186
Stddev (Average Timeseries DO)	6.70975226692064	8.53920954090284	8.20459240642632	7.53394919698762	7.3579488005853	7.50553272349449
Average Daily Max PAR [umol photons m^-2 s^-1]	542.743927224971	542.743927224971	542.743927224971	542.743927224971	542.743927224971	542.743927224971
Stddev (Average Daily Max PAR)	46.8647886067995	46.8647886067995	46.8647886067995	46.8647886067995	46.8647886067995	46.8647886067995
Average Total PAR [umol photons m^-2 s^-1]	193.484886746661	193.484886746661	193.484886746661	193.484886746661	193.484886746661	193.484886746661
Stddev (Average Total PAR)	275.643020816154	275.643020816154	275.643020816154	275.643020816154	275.643020816154	275.643020816154
Inegrated DO [umol*sec kg^-1]	2252861.26860755	2538076.45316383	2616926.88186946	2433078.71986196	2120694.71733565	2307612.3112813
Integrated PAR [umol photons m^-2]	46879554.2528481	46879554.2528481	46879554.2528481	46879554.2528481	46879554.2528481	46879554.2528481
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	20.8088952951033	18.4705051711152	17.9139717573457	19.2675863177611	22.1057533032126	20.3151777374676
