Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	209.641733365584	211.574260272235	211.664145837419	211.424896417922	212.266697927508	214.03302290005
Stddev (Average Daily Max DO)	0	0	0	0	0	0
Average Daily Min DO [umol kg^-1]	191.888480944068	192.038993907302	192.822833798852	197.724297465102	197.575704287627	199.668593584552
Stddev (Average Daily Min DO)	1.7353261589501	1.9602290682963	1.61369943807762	1.01593538719308	1.63471234451936	0.709670838928503
Average Daily Production Rate [umol kg^-1 min^-1]	0.128602183877916	0.146732512838554	0.138977789787589	0.0839164134643227	0.0950121243054269	0.0990790815403244
Stddev (Average Daily Production Rate)	0.0216248680312516	0.0230351608137295	0.0323270375528716	0.00943053195333688	0.00894830940004834	0.0171071567166544
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.197954341220054	-0.212114087426073	-0.213953620939989	-0.156959094655292	-0.164386108493261	-0.153082514067307
Stddev (Average Daily Consumption Rate)	0.0345559260800432	0.0429354648598985	0.0295271687480791	0.0192246575817029	0.0288200022071504	0.0258393508103463
Average Total DO [umol kg^-1]	199.902580322733	200.989398429804	201.281622261188	203.906659096624	204.145977601937	206.124433052849
Stddev (Average Timeseries DO)	6.40672002156516	7.21069588549322	6.87303110026996	5.05704102919461	5.35670256546727	5.10357943597308
Average Daily Max PAR [umol photons m^-2 s^-1]	739.613597976393	739.613597976393	739.613597976393	739.613597976393	739.613597976393	739.613597976393
Stddev (Average Daily Max PAR)	0	0	0	0	0	0
Average Total PAR [umol photons m^-2 s^-1]	299.864840176664	299.864840176664	299.864840176664	299.864840176664	299.864840176664	299.864840176664
Stddev (Average Total PAR)	350.592947773075	350.592947773075	350.592947773075	350.592947773075	350.592947773075	350.592947773075
Inegrated DO [umol*sec kg^-1]	1125648.57109384	1236537.76319018	1245560.01284679	878454.253791728	929931.336862457	919702.64578684
Integrated PAR [umol photons m^-2]	55904877.6531135	55904877.6531135	55904877.6531135	55904877.6531135	55904877.6531135	55904877.6531135
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	49.6645925635462	45.2108130599123	44.8833272395603	63.6400557135534	60.1172102036413	60.785818013261
