Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	201.191348855162	202.274188747465	199.480185434382	200.867982055689	203.995386400587	199.549971261653
Stddev (Average Daily Max DO)	0.570265487726606	0.0934874838240199	4.95715931041579	0.604101343439214	0.801375561942662	0.870253814077373
Average Daily Min DO [umol kg^-1]	180.721242234442	177.696648591574	182.154093529807	180.140016578845	179.608227486517	177.353324929271
Stddev (Average Daily Min DO)	2.6909684370698	3.01966337386809	2.58549321569805	3.62773941938961	2.57029294184545	2.21346824783381
Average Daily Production Rate [umol kg^-1 min^-1]	0.201606198955327	0.236601903469231	0.196198540352375	0.273565868625511	0.24165756009766	0.216287834507559
Stddev (Average Daily Production Rate)	0.113754410299628	0.159936767073222	0.11882164291075	0.0678681577395971	0.133895259737446	0.126991270687594
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.212776438574347	-0.24961883437346	-0.204658657988527	-0.217482077597235	-0.246524156375462	-0.231909562337194
Stddev (Average Daily Consumption Rate)	0.0554426765259773	0.0795592806080331	0.0637251535047514	0.0507951386665365	0.0915914804999913	0.0626744099122722
Average Total DO [umol kg^-1]	189.036001000853	187.357320859185	190.222884974045	188.198237899828	189.522629773503	186.351432180629
Stddev (Average Timeseries DO)	7.92933116665505	9.54400463911708	7.77085536899767	8.44890069936838	9.24015349828933	8.6653692998738
Average Daily Max PAR [umol photons m^-2 s^-1]	721.386236493349	721.386236493349	721.386236493349	721.386236493349	721.386236493349	721.386236493349
Stddev (Average Daily Max PAR)	0	0	0	0	0	0
Average Total PAR [umol photons m^-2 s^-1]	248.719802971562	248.719802971562	248.719802971562	248.719802971562	248.719802971562	248.719802971562
Stddev (Average Total PAR)	350.927240214755	350.927240214755	350.927240214755	350.927240214755	350.927240214755	350.927240214755
Inegrated DO [umol*sec kg^-1]	1386903.59296242	1655264.64178454	1350211.82134759	1471241.7613623	1553004.48783893	1415559.28528059
Integrated PAR [umol photons m^-2]	41843726.4490744	41843726.4490744	41843726.4490744	41843726.4490744	41843726.4490744	41843726.4490744
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	30.1706093065175	25.2791761466992	30.9904903715862	28.4410948274939	26.9437253895523	29.5598544576537
