Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	195.307052060642	197.07840208149	195.428263253401	195.785096764045	195.246718801222	197.250333375754
Stddev (Average Daily Max DO)	0.554450967378573	0.107966884753519	0.994265351856912	1.22821019093738	0.555820679557815	0.317770358516105
Average Daily Min DO [umol kg^-1]	173.01732247716	170.104721174509	173.083873733813	167.49111393443	161.666095380064	172.037769240027
Stddev (Average Daily Min DO)	2.5374315660568	2.97187065357886	2.33236424985848	4.03259504761629	4.99620073356782	2.51731583001221
Average Daily Production Rate [umol kg^-1 min^-1]	0.24061989659306	0.301713103513649	0.246627037136022	0.230085262539859	0.282717789623746	0.282774742087625
Stddev (Average Daily Production Rate)	0.0311032143851256	0.0227182236424637	0.0418022437777185	0.155807568430578	0.193584523885893	0.0112445995427659
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.26822613609617	-0.311705237859978	-0.272842067610715	-0.341856881202925	-0.39640427805359	-0.290248993539137
Stddev (Average Daily Consumption Rate)	0.0321865318998922	0.0238354784180921	0.0325561585247527	0.0332516671109654	0.0401410353806965	0.0132096410499925
Average Total DO [umol kg^-1]	183.169340737663	182.766896314263	182.960873161998	180.273046586085	176.661687422906	183.880430356596
Stddev (Average Timeseries DO)	9.01252494147342	10.5963617773665	9.26567020609761	11.3132645583389	13.5073003479547	9.84392704085935
Average Daily Max PAR [umol photons m^-2 s^-1]	659.380076725916	659.380076725916	659.380076725916	659.380076725916	659.380076725916	659.380076725916
Stddev (Average Daily Max PAR)	0	0	0	0	0	0
Average Total PAR [umol photons m^-2 s^-1]	278.17693090029	278.17693090029	278.17693090029	278.17693090029	278.17693090029	278.17693090029
Stddev (Average Total PAR)	323.398586006685	323.398586006685	323.398586006685	323.398586006685	323.398586006685	323.398586006685
Inegrated DO [umol*sec kg^-1]	1284663.41334279	1363117.57108728	1413524.58785197	1704454.77001181	2053330.009546	1357852.12738988
Integrated PAR [umol photons m^-2]	34646346.9090729	34646346.9090729	34646346.9090729	34646346.9090729	34646346.9090729	34646346.9090729
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	26.9692018541421	25.4169909066885	24.5106078853021	20.3269382788215	16.8732482104683	25.5155522535959
