Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	192.229634516278	193.066547700843	194.707473412817	193.836672613597	195.966328313752	195.021707377803
Stddev (Average Daily Max DO)	2.80534137829329	6.53385269880233	2.73319510645828	2.26749353107277	3.93352091723354	2.44564663152807
Average Daily Min DO [umol kg^-1]	160.074769690198	151.419676080333	167.369246404296	164.860503391746	160.085402616364	161.510621997109
Stddev (Average Daily Min DO)	6.76815308903123	3.52405995428279	10.0049418337181	4.39282023523076	9.99735626802667	9.86328041393953
Average Daily Production Rate [umol kg^-1 min^-1]	0.430956505726201	0.47562148217699	0.345446936017723	0.378259185002577	0.470886049084967	0.454419728352292
Stddev (Average Daily Production Rate)	0.0250664523353104	0.0897725543522882	0.0500667116782048	0.0334900819215272	0.0375262177446774	0.0460701404804507
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.37168761013685	-0.406488527194123	-0.323317795240361	-0.338192429117186	-0.39609138522395	-0.377278377405275
Stddev (Average Daily Consumption Rate)	0.0826672064907949	0.138363653048647	0.117964223422079	0.062130961844699	0.114964598395892	0.107125050601689
Average Total DO [umol kg^-1]	174.026614104617	172.796823588688	179.60122563821	177.659726885887	175.983467560967	176.300924016072
Stddev (Average Timeseries DO)	13.5591772992463	15.0601843283253	11.8869759480788	11.9697466812625	14.7384834777376	14.1478304185759
Average Daily Max PAR [umol photons m^-2 s^-1]	713.10045967594	713.10045967594	713.10045967594	713.10045967594	713.10045967594	713.10045967594
Stddev (Average Daily Max PAR)	138.582138486734	138.582138486734	138.582138486734	138.582138486734	138.582138486734	138.582138486734
Average Total PAR [umol photons m^-2 s^-1]	267.161956141318	267.161956141318	267.161956141318	267.161956141318	267.161956141318	267.161956141318
Stddev (Average Total PAR)	355.182793568762	355.182793568762	355.182793568762	355.182793568762	355.182793568762	355.182793568762
Inegrated DO [umol*sec kg^-1]	3850816.74651452	4241942.32436086	3306891.11993413	3632692.54818711	4078423.17459858	4012099.28978477
Integrated PAR [umol photons m^-2]	65938477.7202847	65938477.7202847	65938477.7202847	65938477.7202847	65938477.7202847	65938477.7202847
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	17.1232447713767	15.5444069433971	19.9397184028237	18.1514061114782	16.1676400161135	16.4349067552169
