Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	180.855737695954	191.312453942712	189.955553746761	183.514444026931	189.851201067822	188.287143886266
Stddev (Average Daily Max DO)	0	6.87505891133415	8.51924128644814	0	9.34496848837193	8.57970146081114
Average Daily Min DO [umol kg^-1]	174.351071420728	180.897913187543	177.892966896291	176.750111139972	176.531504599627	176.033736012927
Stddev (Average Daily Min DO)	2.09971814763084	0.940626832862853	1.77228189680471	1.2918971924417	2.24842298861935	1.41424372058675
Average Daily Production Rate [umol kg^-1 min^-1]	0.0584579393793234	0.050849060270366	0.0563611945964055	0.0618996396633094	0.0603520389050232	0.0558032656247462
Stddev (Average Daily Production Rate)	0.00381731177688473	0	0	0.00764255966320472	0	0
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.144184475823337	-0.121762560012883	-0.132541203974881	-0.140200770253543	-0.149281613025465	-0.138577638295246
Stddev (Average Daily Consumption Rate)	0.0477384076856766	0.0595332556130424	0.0625109994369657	0.0460437591892898	0.0637270397727968	0.0669780537083061
Average Total DO [umol kg^-1]	180.258986044133	185.838868447265	183.664725638741	182.494852876083	182.826562710232	182.009003295017
Stddev (Average Timeseries DO)	7.16967575263339	5.8340625720673	6.89889573913989	6.56619596404369	7.56455382517512	6.90338224372557
Average Daily Max PAR [umol photons m^-2 s^-1]	449.2963284086	449.2963284086	449.2963284086	449.2963284086	449.2963284086	449.2963284086
Stddev (Average Daily Max PAR)	416.18864579762	416.18864579762	416.18864579762	416.18864579762	416.18864579762	416.18864579762
Average Total PAR [umol photons m^-2 s^-1]	166.647909070019	166.647909070019	166.647909070019	166.647909070019	166.647909070019	166.647909070019
Stddev (Average Total PAR)	279.025211445777	279.025211445777	279.025211445777	279.025211445777	279.025211445777	279.025211445777
Inegrated DO [umol*sec kg^-1]	1261952.78949298	1382182.96960503	1428180.85259746	1130618.38876394	1588032.89571367	1255664.18760875
Integrated PAR [umol photons m^-2]	28589111.0158606	28589111.0158606	28589111.0158606	28589111.0158606	28589111.0158606	28589111.0158606
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	22.6546597098509	20.6840278346289	20.017850655164	25.2862604217112	18.002845591566	22.7681184969564
