Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
52999.9596706321	53184.1951303296	53095.7268687737	53034.8668842243	54152.2597794355	52998.7905410091
52965.9408935958	53168.4383621753	53030.5366802838	52953.5485895403	54099.1994250699	52960.2429556893
52984.3683771748	53123.9195603305	53014.0785943388	52928.1865749054	54146.8015160287	52950.6073524338
52962.4696036321	53162.5913005044	53017.466940965	52914.5788871787	54494.8333590088	52930.8502456521
52986.6981502949	53212.6400081725	53008.1320455376	52912.2736073458	54627.2402970978	52951.8966013932
53006.8867251036	53313.1262739401	53029.6143089658	52934.0532893189	54446.4790902952	52934.3817419228
52843.5223400125	53035.6701155557	53076.841562249	52942.5706056637	49588.7335391875	NaN
53014.8160000178	53069.0298759475	52370.6934641231	52922.3650113032	54611.3365556089	NaN
NaN	NaN	53002.0984164922	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.9583333333	39024.5625	39024.5277777778	39024.5416666666	39024.5138888889	39024.9965277778
39025.2152777778	39025.0590277778	39024.8958333333	39025.0034722221	39024.9826388889	39025.4652777778
39025.5694444444	39025.4652777778	39025.2083333333	39025.5277777778	39025.5868055555	39025.9166666666
39025.8541666666	39025.7118055555	39025.5208333333	39025.8194444444	39025.8715277778	39026.3125
39026.3819444445	39026.3784722222	39025.8611111111	39026.2916666666	39026.3611111111	39026.6493055556
39026.6666666666	39026.6805555556	39026.2638888889	39026.6493055556	39026.6597222222	39027.2604166666
39027.0381944445	39027.1215277778	39026.6527777778	39026.9340277778	39027.0486111111	NaN
39027.3958333334	39027.3888888889	39027.0173611111	39027.3472222222	39027.375	NaN
NaN	NaN	39027.3541666666	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
