Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
52980.0519261236	53143.7405281232	52988.9098331716	52949.6172096781	54092.6943163731	52983.8645283173
52965.3429887178	53116.959298777	53013.6278564845	52901.1877528122	54033.1434310768	52959.3014914258
52951.7598471196	53109.0078463376	53005.6075816265	52907.7199293962	53845.5480955599	52927.7536029311
52935.2103472452	51786.0226970443	52986.4795195426	52896.3691288689	46387.1219977577	52750.0782657538
52663.8358074829	52966.6942990223	52918.9946512911	52892.4379005709	53773.9651011157	52889.854422676
52962.6233243936	51338.339602975	52958.4612294753	52897.9854059234	48816.7030746006	52551.263513656
52595.785263825	52981.0609030798	52115.2618260416	52585.1503287767	48988.6679479996	NaN
52501.8610095296	NaN	52363.4659331232	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.7951388889	39024.8020833333	39024.7048611111	39024.9097222221	39024.8229166666	39024.8055555555
39025.1631944444	39025.3680555555	39025.1423611111	39025.3611111111	39025.4270833333	39025.3923611111
39025.3819444444	39025.5763888889	39025.3784722221	39025.6944444444	39025.7361111111	39025.7881944444
39025.7465277778	39026.15625	39025.7083333333	39026.0277777778	39026.1145833334	39026.1180555556
39026.0833333334	39026.5277777778	39026.0659722222	39026.4618055556	39026.5069444445	39026.4618055556
39026.5277777778	39026.8888888889	39026.5138888889	39026.8055555556	39026.9340277778	39026.9895833334
39026.8854166666	39027.2222222222	39026.8715277778	39027.1423611111	39027.1423611111	NaN
39027.1944444445	NaN	39027.0625	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
