Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
166.70371782992	167.073549545866	165.700627139811	175.692834069892	165.681674298829	164.963276275863
163.451557407577	168.891125274905	167.317049030744	167.855133219213	170.605496604024	162.941731608444
164.452249870929	164.340027984678	164.447156557755	164.737174360416	163.461240409527	163.525904355993
165.863917519433	165.976420160346	165.718706611957	166.658985615505	168.669777095611	NaN
NaN	166.662424061425	166.504810341734	167.067791460076	166.705860268822	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39025.2361111111	39025.2395833333	39025.2569444444	39024.8090277778	39025.2326388889	39025.2291666666
39026.2847222222	39026.0590277778	39026.0659722222	39025.2395833333	39025.9583333333	39026.2708333334
39027.0763888889	39026.2986111111	39026.2847222222	39026.2916666666	39026.3090277778	39027.09375
39027.2986111111	39027.0798611111	39027.0763888889	39027.0555555556	39027.0625	NaN
NaN	39027.3125	39027.3055555556	39027.3229166666	39027.3298611111	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
