Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
212.464023156112	228.77114895761	230.71781589993	227.863988473747	227.758583927597	234.634537529295
235.537296641854	244.427116701038	238.643525751405	236.700828488159	234.195063187258	241.47618634578
235.761547588141	244.82525344966	246.463746408431	242.305270536925	235.198290010762	NaN
242.394808665079	242.360724211982	245.206799672418	242.782851223072	232.906629479568	NaN
241.201014423518	239.431029928751	243.692546624576	244.92682044198	245.59739496205	NaN
250.345785985762	NaN	244.923141315273	251.738118246623	244.620079997651	NaN
254.162962530749	NaN	243.156087197563	250.810345102412	251.740081507543	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.46875	39024.5104166666	39024.5659722221	39024.5763888889	39024.5173611111	39025.4756944444
39024.8333333333	39025.4930555555	39025.2326388889	39025.0520833333	39024.8125	39026.4826388889
39025.1909722221	39025.7777777778	39025.6875	39025.8229166666	39025.0486111111	NaN
39025.7569444444	39026.09375	39025.9930555555	39026.1909722222	39025.3402777778	NaN
39026.1597222222	39026.4861111111	39026.4618055556	39026.5972222222	39025.9722222221	NaN
39026.7013888889	NaN	39027.0763888889	39026.9930555556	39026.375	NaN
39027.0902777778	NaN	39027.4340277778	39027.3888888889	39027.4131944445	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
