Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
34.5823729042262	34.7315129540516	34.6729538908085	34.6212083472789	35.4552650002742	34.5918819822336
34.5759332301752	34.7111170820188	34.6022445654152	34.5526041917594	35.3920581334297	34.474601638817
34.5290676748484	34.6322060257593	34.6252995422899	34.5399220323675	35.3364791083136	34.5533278676215
34.4533569459686	34.7306470739004	34.5812465333369	34.5166652524242	35.5917671142546	34.4859116659338
34.5972906507588	34.7545424405437	34.6116524067365	34.5577289221571	35.776357296601	34.5851412148696
NaN	34.6545760240934	NaN	NaN	35.5827182471441	NaN
NaN	NaN	NaN	NaN	32.0917802992501	NaN
NaN	NaN	NaN	NaN	35.7756757621469	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39025	39024.5243055555	39024.5138888889	39024.5277777778	39024.4895833333	39025.0173611111
39026.3333333334	39025.0277777778	39025.0104166666	39025.0173611111	39025.0138888889	39025.9444444444
39026.6770833334	39025.7152777778	39026.2604166666	39026.2673611111	39025.59375	39026.2951388889
39027.0381944445	39026.3715277778	39026.6527777778	39026.9375	39025.8715277778	39026.6701388889
39027.3715277778	39026.6805555556	39027.3298611111	39027.3263888889	39026.3576388889	39027.2638888889
NaN	39027.3333333334	NaN	NaN	39026.6631944445	NaN
NaN	NaN	NaN	NaN	39027.0486111111	NaN
NaN	NaN	NaN	NaN	39027.3715277778	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
