Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
25.5430000945252	25.5421071137464	25.5455657017749	25.5479379966552	25.5471110116117	25.5377519525612
25.6035514195046	25.6032935166797	25.5887320679496	25.592104814761	25.6017771834095	25.6183737416838
25.5848286590179	25.5849878975588	25.586143592662	25.588922989982	25.5886139047523	25.5804230543827
25.561045335356	25.5608693688271	25.5552074690817	25.5611146566844	25.558331527126	25.5706747860828
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.8194444444	39024.8229166666	39024.8229166666	39024.8194444444	39024.8229166666	39024.8229166666
39025.5451388889	39025.5381944444	39025.5486111111	39025.5347222221	39025.5138888889	39025.5451388889
39025.8784722221	39025.8784722221	39025.8784722221	39025.8680555555	39025.8680555555	39025.8819444444
39026.5868055556	39026.5902777778	39026.59375	39026.6180555556	39026.625	39026.5486111111
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
