Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-63.4722451252892	-63.9405192808972	-66.9346357239579	-64.3639022020623	-63.4904572052039	-63.5358021548913
-64.1700169694253	-63.3748033296895	-63.9792274339159	-64.4553150452169	-63.394731588123	-64.0269553963916
-62.9092460987754	-64.4771632474179	-63.1563603267	-63.54126962789	-64.1270541013483	-63.5290006038529
-64.2562369044283	-63.8505292803724	-62.9898042073692	-63.6462424337899	-63.8535110814279	-64.2425884690626
-63.9504322639869	-63.8240975600079	-62.6490859907142	-65.1301895498077	NaN	-63.6663420028055
-62.9573835842956	NaN	NaN	-64.4474459559439	NaN	NaN
NaN	NaN	NaN	-64.3005071155892	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39025.375	39025.2604166666	39024.5	39024.4652777778	39025.2222222221	39025.2777777778
39025.8298611111	39026.3333333334	39025.2395833333	39024.7395833333	39026.3368055556	39026.0729166666
39026.3611111111	39026.8125	39026.34375	39025.2743055555	39027.0694444445	39026.3159722222
39026.7291666666	39027.0694444445	39027.0729166666	39026.3472222222	39027.3541666666	39026.8090277778
39027.0798611111	39027.3541666666	39027.3680555556	39026.7743055556	NaN	39027.0763888889
39027.3993055556	NaN	NaN	39027.0590277778	NaN	NaN
NaN	NaN	NaN	39027.3715277778	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
