Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-67.0577543578816	-65.8520469617954	-67.0837112118335	-64.6300528299112	-65.7604371685986	-65.6651585549991
-67.3348392900171	-66.5762535225052	-66.7280620018475	-64.7993077123552	-66.0369748774068	-66.0742134775167
-64.7349257806649	-65.8057284885982	-65.0903782905117	-65.9827434546161	-65.7765414048162	-64.0454766679148
-65.3685927691701	-64.4974483067347	-63.2902157049697	-65.7915628842082	-64.406478897457	-66.2502382618916
-65.0626600115622	-64.2281691808608	NaN	-65.1592913919175	NaN	-64.2904791936185
-64.2411866046309	NaN	NaN	-64.882444757365	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.6458333333	39024.6458333333	39024.5972222221	39024.6111111111	39024.6215277778	39024.6041666666
39025.6319444444	39025.6006944444	39025.5069444444	39024.9027777778	39025.6319444444	39025.5972222221
39025.9583333333	39026.5833333334	39026.5729166666	39025.6076388889	39026.59375	39026.1319444445
39026.5694444445	39026.8680555556	39027.2013888889	39026.5868055556	39027.1944444445	39026.5625
39026.8854166666	39027.2118055556	NaN	39026.8402777778	NaN	39026.8819444445
39027.1944444445	NaN	NaN	39027.2083333334	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
