Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-1.65749142281129	-1.07993725451524	-3.34730899518036	-2.32171634808765	-1.2505346835751	-0.533180626596732
-0.994483795533597	-1.13099338233587	-0.391718963888707	-0.302147194328427	-0.840539176184393	-0.456668734099367
-0.477181362977717	-0.721792352836928	-0.285506515647285	-0.720455750975816	-0.956936317641521	-0.461582546078716
-1.53675376849424	-11.073405640971	-0.920706554119533	-0.626239868652192	-11.3105450704606	-5.68509434697626
-7.59355196854449	-28.3500599263862	-2.49965577601688	-0.688292529855971	-193.097401719737	-1.51930514353444
-0.8675787150205	-8.86460890642775	-1.63042911795492	-0.487858784108539	-31.8315820536809	-6.04951999912737
-10.8981004575544	-54.0129278879467	-25.8312730058387	-0.666594280468416	-121.952555112402	-1.0061464264727
-12.0250717994131	-2.95883310190402	-0.84986018667405	-1.25324253104918	-33.3307717226562	NaN
-2.65238327573024	-0.970997643678857	-1.86990811131545	-9.85704282217193	-27.4372729001116	NaN
NaN	NaN	NaN	-2.18555037679471	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.5833333333	39024.6354166666	39024.6041666666	39024.6111111111	39024.6111111111	39025.2291666666
39025.0451388889	39025.2638888889	39025.0173611111	39024.8402777778	39025.1076388889	39025.5868055555
39025.3090277778	39025.5277777778	39025.3090277778	39025.1076388889	39025.3680555555	39025.71875
39025.6631944444	39025.8229166666	39025.6111111111	39025.2743055555	39025.6770833333	39026.03125
39025.9722222221	39026.0729166666	39025.9791666666	39025.6006944444	39026.0104166666	39026.375
39026.4513888889	39026.4444444445	39026.4513888889	39025.9166666666	39026.4166666666	39026.8055555556
39026.7916666666	39026.7986111111	39026.7708333334	39026.3888888889	39026.8055555556	39027.3263888889
39027.1180555556	39027.1631944445	39027.0381944445	39026.7326388889	39027.0972222222	NaN
39027.4479166666	39027.4479166666	39027.4097222222	39027.0520833334	39027.4305555556	NaN
NaN	NaN	NaN	39027.40625	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
