Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.214589332627781	-0.169530293707084	-0.228544636114975	-0.156748767473061	-0.127999711366527	-0.210716347772973
-0.136661489980469	-0.138311697351412	-0.168347682879414	-0.13482169826753	-0.147000194542983	-0.16345640734491
-0.395972303422099	-0.333158126950281	-0.404762324891351	-0.295596267302386	-0.2997886408846	-0.474170799589729
-0.083471270878789	-0.0795487190349604	-0.0784390480696402	-0.116193164108466	-0.290410931613991	-0.0616834878203747
-0.11773914352537	-0.137449858905285	-0.0989972165217807	-0.130938843934217	-0.252607976238153	-0.0978167361586486
-0.334947846943777	-0.289080176121558	-0.331610261770066	-0.250299617128405	-0.199320418181571	-0.437068207278401
-0.158301933676199	-0.182417590633605	-0.153063837962065	-0.155068369442802	-0.199768844598253	-0.143184461627811
-0.0508870855864814	-0.0712796702959224	-0.0695504807282248	-0.119992363652784	NaN	-0.000785483818361854
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.7256944444	39024.7256944444	39024.7083333333	39024.6909722221	39024.71875	39024.7152777778
39025.0659722221	39025.0694444444	39025.0555555555	39025.0451388889	39025.0520833333	39025.0590277778
39025.7083333333	39025.7083333333	39025.7048611111	39025.6979166666	39025.7118055555	39025.7048611111
39025.9618055555	39025.9513888889	39025.9583333333	39025.9479166666	39026.21875	39025.9756944444
39026.2083333334	39026.21875	39026.2152777778	39026.2152777778	39026.6736111111	39026.2048611111
39026.6840277778	39026.6805555556	39026.6840277778	39026.6875	39026.9756944445	39026.6805555556
39026.9756944445	39026.9791666666	39026.9826388889	39026.9548611111	39027.2604166666	39026.9930555556
39027.2569444445	39027.2638888889	39027.2569444445	39027.2638888889	NaN	39027.2291666666
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
