Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.659129080733635	0.25684773984139	0.1773785590876	0.161412747467409	0.240592266433822	0.234732690628988
0.0608029957719509	0.0841447526555612	0.0718028777637585	0.0278609126042113	0.0479670691522074	0.0763888091901492
0.0950487202422892	0.0417332572015994	0.48503171010077	0.176853411295667	0.0346580691084455	0.15590382557761
0.0581859822597153	0.03921841452987	0.0232394261686579	0.0217382372053407	0.18413283755919	0.151766824835988
0.129305192975579	0.103634582541332	0.0171981011398259	0.141297129008393	0.169169144941463	0.0171702846852781
0.104506712515928	0.0161935586407651	0.029528642174057	0.161697538163736	0.0395075639665663	NaN
0.0111483943732651	NaN	0.0033489410527352	0.0236633131578969	0.085266948358651	NaN
NaN	NaN	NaN	0.019409103135132	0.0600416960354835	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.5625	39024.6284722221	39024.6354166666	39024.6597222221	39024.5902777778	39024.7118055555
39024.90625	39025.5590277778	39024.8993055555	39025.1597222221	39024.8784722221	39025.1458333333
39025.4340277778	39025.8333333333	39025.3645833333	39025.4791666666	39025.1180555555	39025.625
39025.8541666666	39026.1666666666	39025.7291666666	39025.8819444444	39025.4409722221	39026.6180555556
39026.3298611111	39026.5868055556	39026.0555555556	39026.3298611111	39025.7083333333	39027.1631944445
39026.8055555556	39027.1006944445	39026.6493055556	39026.7118055556	39026.0555555556	NaN
39027.15625	NaN	39027.1111111111	39027.0868055556	39026.4895833334	NaN
NaN	NaN	NaN	39027.4548611111	39026.8854166666	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
