Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.0074171782521617	-0.0193360443762955	-0.0182249918588084	-0.00678102431935201	-0.00770733959140557	NaN
-0.00772886507677839	-0.00789429695697663	NaN	NaN	-0.138849219999436	NaN
NaN	-0.0388665849534817	NaN	NaN	-0.0246747186059437	NaN
NaN	NaN	NaN	NaN	-0.0884611078502289	NaN
NaN	NaN	NaN	NaN	-0.02349652914355	NaN
NaN	NaN	NaN	NaN	-0.0220628078165106	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39026.7951388889	39026.0729166666	39026.7708333334	39027.0486111111	39025.6770833333	NaN
39027.1145833334	39026.4375	NaN	NaN	39026.0104166666	NaN
NaN	39026.7986111111	NaN	NaN	39026.4166666666	NaN
NaN	NaN	NaN	NaN	39026.8055555556	NaN
NaN	NaN	NaN	NaN	39027.0972222222	NaN
NaN	NaN	NaN	NaN	39027.4305555556	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
