Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0245687107057364	0.0149747428889384	0.0154671421056207	0.007272324567694	0.0233893120505684	0.0118597721366882
0.0909186682738579	0.0201333764202332	0.0299606275070943	0.0200384347348148	0.0258174361689214	0.0250470128428049
0.0153634800659717	0.0429618997093542	0.037992679027866	0.0271529441647829	0.0174065870775451	0.0399632163290846
0.0341680415430261	0.0154502892204817	0.0200028134406409	0.0132017278738346	0.0231842507300826	0.0161696673184295
0.0383215171455333	0.0159141924223576	0.0331604586620244	0.0202260662337679	0.0199321178221652	0.0476183964206456
0.0315048462545064	0.0340439967433781	0.0194315387790525	0.0203473805076584	0.0189008316234691	0.018235426729234
0.0354827668694355	0.0185021975172219	0.0212394467803421	0.0186140709726885	NaN	NaN
NaN	0.0152488828921236	NaN	0.0196601053713437	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.8159722221	39024.7326388889	39024.6770833333	39024.6736111111	39025.0590277778	39024.7013888889
39025.71875	39025.0486111111	39024.96875	39025.0243055555	39025.7395833333	39025.0381944444
39026.0243055556	39025.7083333333	39025.7118055555	39025.7013888889	39026.25	39025.7083333333
39026.2777777778	39025.9826388889	39026.2534722222	39025.96875	39026.6770833334	39026.2430555556
39026.6423611111	39026.25	39026.6631944445	39026.2604166666	39026.96875	39026.6597222222
39026.9791666666	39026.6736111111	39026.9791666666	39026.6597222222	39027.2777777778	39026.9826388889
39027.2951388889	39026.9791666666	39027.2847222222	39026.9652777778	NaN	NaN
NaN	39027.28125	NaN	39027.2881944445	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
