Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.0760939396998879	-0.0585080231056452	-0.00824227306820546	-0.00997568749293976	-0.0255135385448426	0.00185176273365073
-0.0910995087582336	0.00397493185732856	0.0012768098800251	-0.0114932529813245	-0.0302990134587304	-0.0458680733066643
-0.0238150973466986	-0.046338104867317	-0.0620518782077113	-0.0430337870372739	0.000941736294720386	-0.00161395442593459
0.00444390573660769	0.00405997493950849	0.00153446339059826	0.00114608645385772	-0.0533294620313995	-0.0633966771424781
-0.0663456968700444	0.00340930797069916	-0.0479195076186443	-0.000550115911892135	0.00080446087014252	-0.00358093639989931
-0.0278032029780917	-0.0563075913684798	-0.000100689371805629	-0.0515215114419476	-0.0118359062812772	-0.0474255391407326
-0.0136755901712036	-0.0019309775040881	-0.01276345323258	-0.00229100436068563	-0.0214614487627642	NaN
-0.0140197553331305	-0.0144843452292065	-0.0194559067761375	-0.0159043548028848	NaN	NaN
NaN	-0.0204681899154622	NaN	-0.0175738811188637	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39024.4895833333	39024.4756944444	39024.5416666666	39024.53125	39024.5	39024.8541666666
39025.5347222221	39024.8784722221	39024.7951388889	39024.8229166666	39025.4861111111	39025.4513888889
39025.8819444444	39025.4722222221	39025.3611111111	39025.4652777778	39026.0972222222	39026.1006944445
39026.1284722222	39025.8680555555	39026.1006944445	39025.8506944444	39026.46875	39026.4513888889
39026.46875	39026.1111111111	39026.4618055556	39026.1006944445	39026.8263888889	39026.84375
39026.8020833334	39026.46875	39026.8368055556	39026.46875	39027.1319444445	39027.3993055556
39027.1354166666	39026.8368055556	39027.1354166666	39026.8055555556	39027.4409722222	NaN
39027.4618055556	39027.1388888889	39027.4444444445	39027.1319444445	NaN	NaN
NaN	39027.4409722222	NaN	39027.4479166666	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
