Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	14318603.03	666281.7999	2197.5	624750	787360.3191	0.046532598	0.000153472	0.04363205	0.054988627	972.5099998	188.1641865	7.965321637	237.816886	25.56130482	1.3372	167.4393395	7.895321637	205.816886	25.41130482	460.6445857	182.5575943	7.946090868	226.0476552	25.48096829	255.5830557	5.280915742	0.021256287	11.9661584	0.040303848	0.007168332	0.12035991	-6.61E-06	0.006325313	-0.025854116	0.304939729	-8.29E-05	0.276046116
Sensor2	NaN	619575.7518	1636.5	211049.9991	787376.5099	0.043270684	0.000114292	0.014739566	0.054989758	NaN	185.8750105	7.94880848	252.0427632	25.55935307	NaN	167.7913715	7.87880848	227.0427632	25.40935307	NaN	181.0226651	7.931500787	233.9562247	25.48146845	NaN	4.804244145	0.018550941	5.068675123	0.038884271	0.005069403	0.072732341	-2.96E-06	0.001664182	-0.016357714	0.680331269	-7.84E-05	0.265276305
Sensor3	NaN	622301.7047	2451	1449900	787335.7829	0.043461063	0.000171176	0.101259878	0.054986913	NaN	187.7192381	7.977426901	252.4122806	25.56089912	NaN	166.4962683	7.917426901	230.4122807	25.41089912	NaN	181.8571965	7.956561516	235.4411269	25.48012989	NaN	5.358567356	0.011833027	3.750616078	0.038558802	0.008692004	0.171872582	2.57E-05	0.306976161	-0.006200231	0.178514982	-8.22E-05	0.297059672
Sensor4	NaN	551255.6816	1081.5	125249.9999	787433.4539	0.038499264	7.55E-05	0.008747362	0.054993735	NaN	182.5849421	7.933731725	246.122807	25.55857456	NaN	167.3348569	7.903731725	228.122807	25.41857456	NaN	177.952293	7.918635571	232.2670378	25.4832861	NaN	3.818821411	0.006825878	4.236728602	0.036335992	0.006748259	0.20398059	1.10E-05	0.170986301	-0.007197545	0.188526173	-8.17E-05	0.330157833
Sensor5	NaN	608056.4775	1699.5	189750	787325.875	0.042466187	0.000118692	0.013251991	0.054986221	NaN	183.1512754	7.949312865	236.6798246	25.56208333	NaN	163.8275101	7.909312865	225.6798246	25.41208333	NaN	178.1516667	7.934120558	231.8625169	25.47987179	NaN	4.966217643	0.010142745	3.513536711	0.039362807	0.003991715	0.042201871	9.67E-06	0.059409806	-0.009200328	0.447900733	-8.67E-05	0.317196024
Sensor6	NaN	670106.5828	1464	305700	787209.2697	0.046799718	0.000102245	0.021349848	0.054978078	NaN	187.2710825	7.954170322	246.5076754	25.55287281	NaN	165.5914588	7.894170322	215.5076754	25.40287281	NaN	181.848366	7.931285706	225.4692139	25.47604588	NaN	4.653189004	0.012670053	6.289030481	0.040344738	0.008290521	0.20736069	1.14E-05	0.053097532	-0.018794448	0.583385789	-7.76E-05	0.241395862
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	22048628.34	851212.9708	2359.500001	1562700	1127661.543	0.038606164	0.000107013	0.070875157	0.051144295	1042.699996	191.299397	7.995321637	245.8168859	25.64130482	1.209600073	163.3566632	7.885321637	236.816886	25.45130482	496.6002551	180.3221805	7.928700016	241.2425616	25.57002104	315.7957104	8.288118124	0.028774376	2.330195798	0.036982813	0.016407677	0.390836216	2.19E-05	0.057935025	0.003151469	0.182412076	8.44E-05	0.519345481
	NaN	809157.0014	2458.500001	860099.9985	1127737.47	0.036698746	0.000111504	0.039009229	0.051147738	NaN	189.0098857	7.95880848	252.0427632	25.63935307	NaN	163.9565571	7.89880848	242.0427632	25.44935307	NaN	179.3410054	7.93434902	246.5562767	25.57171794	NaN	7.379310758	0.017662127	2.428533573	0.03650294	0.014545177	0.387452888	3.12E-05	0.311641137	-0.003151834	0.167977471	8.32E-05	0.518227195
	NaN	794262.4341	2835.000001	2692499.999	1127457.651	0.036023213	0.000128579	0.12211644	0.051135047	NaN	191.8657088	7.987426901	270.4122807	25.63089912	NaN	163.0393026	7.897426901	188.4122807	25.46089912	NaN	179.7442562	7.941480955	249.4190374	25.56542615	NaN	8.890066856	0.019857925	9.010573264	0.032833003	0.01823931	0.419777567	4.68E-05	0.554997881	0.014433025	0.255871763	6.56E-05	0.398051858
	NaN	863790.7607	1899.000001	635250	1127466.138	0.039176621	8.61E-05	0.028811316	0.051135432	NaN	190.2167913	7.953731725	247.122807	25.63857456	NaN	164.1396944	7.883731726	237.122807	25.44857456	NaN	179.6842375	7.926637131	242.5146989	25.56560159	NaN	7.111475686	0.016629348	3.294264516	0.033975971	0.014150141	0.394834014	2.45E-05	0.216554683	0.004422257	0.179714674	7.00E-05	0.423156148
	NaN	878513.4139	2251.5	577650	1127617.875	0.039844357	0.000102115	0.026198909	0.051142314	NaN	188.5920808	7.959312865	257.6798246	25.64208333	NaN	162.6901923	7.889312866	227.6798247	25.45208333	NaN	178.4112031	7.930191244	238.7946894	25.56904279	NaN	7.57656246	0.016779038	5.187011049	0.035276532	0.01418811	0.349717293	1.98E-05	0.138446244	-0.001642597	0.010000928	8.25E-05	0.545837491
	NaN	898029.0064	1872.000002	1050450	1127946.691	0.040729473	8.49E-05	0.047642419	0.051157227	NaN	193.2996163	7.954170322	249.5076754	25.66287281	NaN	163.2655224	7.894170322	234.5076754	25.44287281	NaN	180.5424417	7.926467619	239.3860538	25.57638632	NaN	9.140780732	0.017538862	3.770464173	0.042295766	0.02100818	0.526772075	2.82E-05	0.258046993	-0.010963601	0.843197471	0.000104161	0.604818339
																																					
