Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	633688.0244	2053.499999	568499.9999	741493.9704	188.1641865	7.965321637	237.816886	25.56130482	167.3882875	7.895321637	205.816886	25.41130482	5.398030717	0.021775783	11.99838687	0.041294059	711401.6734	1536	73350	1094196.477	0.002159118	0.103106308	1.538085329	179.6289591	7.955321637	242.816886	25.57130482	163.3736324	7.905321637	234.816886	25.44130482	172.7570822	7.931154971	236.5529971	25.50581871	4.17985349	0.014841823	0.900552363	0.032791562	258.6527172	0.843502719	1.176493228	0.06425023	23.33437742	0.03351155
Sensor2	587300.4262	1528.5	183900	741510.6743	185.8750105	7.94880848	251.0427632	25.55935307	166.596609	7.87880848	227.0427632	25.40935307	4.976484386	0.019024163	4.755543123	0.039844005	648216.9948	1528.5	259050	1094175.747	0.002358007	0.399634693	1.687977569	179.6398974	7.93880848	251.0427632	25.56935307	164.6775394	7.89880848	242.0427632	25.43935307	173.10363	7.924502924	247.056652	25.50532529	3.996280423	0.010751665	2.770943418	0.033456358	351.3616998	0.893610658	-1.317596731	0.834657734	18.09247386	0.022942531
Sensor3	594122.2265	2325	1361700	741467.1645	187.7192381	7.977426901	252.4122807	25.56089912	165.5619381	7.917426901	230.4122807	25.41089912	5.445695152	0.0119668	3.831735996	0.039717734	645099.7404	2487	212250	1094294.572	0.003855218	0.329018889	1.69631842	180.909019	7.967426901	246.4122807	25.57089912	161.3617698	7.897426901	234.4122807	25.43089912	172.6581438	7.935413012	239.3775585	25.50808662	4.383667991	0.01691525	1.70319812	0.033521305	241.4549696	0.868068157	-0.892546136	0.120258665	18.15980867	0.019283642
Sensor4	526411.2702	1027.5	114450	741546.5197	182.5849421	7.933731725	246.122807	25.55857456	167.3348569	7.903731725	228.122807	25.41857456	3.809669555	0.006920698	4.339827736	0.037218683	672850.803	1387.5	107550	1094314.849	0.002062121	0.15984227	1.626385588	180.2028024	7.933731725	243.122807	25.57857456	161.5656844	7.883731725	234.122807	25.43857456	172.95548	7.916092836	236.6436404	25.50864401	3.647443527	0.010033936	1.070708216	0.033772098	336.6325984	0.857586341	-0.887504064	0.067874371	23.21658138	0.046209946
Sensor5	573261.4963	1596	175350	741455.125	183.1512754	7.949312865	236.6798246	25.56208333	163.8275101	7.899312865	225.6798246	25.41208333	5.152785938	0.010665328	3.590508677	0.040290472	672880.3553	1279.499999	67049.99993	1094352.875	0.001901527	0.099646244	1.626370671	178.6772209	7.959312864	248.6798244	25.57208333	161.5280477	7.889312865	233.6798246	25.44208333	171.7785976	7.919312865	235.2839912	25.50944444	4.339526377	0.01327493	1.405378018	0.033595415	309.0003564	0.893506666	-0.737830044	0.057097135	24.47456896	0.03590091
Sensor6	638643.3476	1377	268199.9999	741350.5987	187.2710825	7.954170322	246.5076754	25.55287281	165.6811157	7.894170322	215.5076754	25.40287281	4.675476621	0.01301935	5.850736463	0.041428317	719460.355	1486.5	316650	1093980.243	0.002066132	0.440121541	1.520556672	178.6330612	7.944170322	246.5076754	25.56287281	162.104379	7.894170322	235.5076754	25.43287281	171.6305599	7.918823099	242.8687865	25.50078947	4.469390855	0.012841867	2.739534724	0.034150531	307.7322649	0.781818165	-1.251372806	0.588342706	17.31846713	0.01751125
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	833747.9919	2335.500001	1533300	1112312.76	191.2993971	7.995321637	245.816886	25.64130482	162.7324301	7.885321637	235.816886	25.45130482	8.553039735	0.028928919	2.494244675	0.037753145	557664.8912	944.9999997	344400	1095108.477	0.001694566	0.617575188	1.963739325	176.3148262	7.925321637	250.816886	25.63130482	161.0162464	7.905321637	240.816886	25.44130482	169.1808225	7.917335526	242.8724415	25.52692982	3.684287175	0.006645874	1.362729561	0.054576805	336.2171562	0.367821375	0.906531869	0.112429054	35.18758451	0.271699084
	790819.8553	2410.5	858000	1112385.359	189.0098857	7.95880848	252.0427632	25.63935307	163.708773	7.89880848	242.0427632	25.45935307	7.656308253	0.018126725	2.509349546	0.037142947	524268.6787	1189.5	127200	1095099.747	0.002268875	0.242623687	2.088813983	176.4537789	7.92880848	248.0427632	25.62935307	162.0967266	7.89880848	241.0427632	25.44935307	170.2191218	7.916586257	244.0149854	25.52671418	3.518421644	0.009783992	1.721702054	0.054451956	328.838214	0.83618227	1.231018398	0.362868538	25.7715887	0.15907927
