Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
54535.2842397901	54629.2577101906	54392.8192780738	55212.3016866848	54523.0990462913	54454.9100577426
54498.8034146968	54787.6403091895	54331.769623373	55162.519871988	54441.8446878212	54359.4685076059
54435.1400093743	54826.6610604054	54321.893622817	55228.585896971	54395.6247552434	54503.3971103245
54428.7330829994	54821.8984601313	54331.2515712797	55605.5728814432	54389.5034276507	54563.2316952914
54718.7459890966	54463.3316175586	54346.8765799994	50005.0618300806	54409.9308921204	54627.1713639596
54705.1116016142	54672.2112257344	54319.4443524324	55828.3512406033	54408.808300377	54557.4775410404
54488.7374759314	54582.6569869013	54338.9372531138	55301.0306482867	54501.6611434363	54483.340797632
54441.7674174635	54567.1541723406	54292.5356543678	55222.7986999015	54307.2406968323	54473.3160690843
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.7361111111	40103.6944444445	40103.7534722222	40103.6701388889	40103.7708333334	40103.7881944445
40104.125	40103.9756944445	40104.0381944445	40104.1076388889	40104.1631944445	40104.0486111111
40104.3993055556	40104.3715277779	40104.4375	40104.375	40104.40625	40104.4131944445
40104.6493055556	40104.6493055556	40104.8819444445	40104.6631944445	40104.65625	40104.6840277779
40104.9791666666	40105.0138888889	40105.1979166666	40104.9722222221	40105.1319444444	40105.0486111111
40105.3680555555	40105.3645833333	40105.4444444444	40105.3472222221	40105.4131944444	40105.4097222221
40105.6493055555	40105.6423611111	40105.7743055555	40105.6388888889	40105.6840277778	40105.7083333333
40105.9409722221	40105.8333333333	40106.0416666666	40106.0173611111	40106.0243055555	40106.0104166666
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
