Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
54417.2340346678	54553.8719598683	54328.6892571972	55100.8687582882	54433.3958328747	54334.6057708908
53935.3621865309	54496.8086106125	54304.8489803229	55142.4432960344	54016.5964079456	54049.382189062
54399.8943042945	52859.7040684057	54292.8130913069	55002.423600964	54380.4764558071	54360.0156780095
54414.4165207014	54370.1061158296	54313.2892650799	49783.0293199504	54383.6722845152	53327.2907771845
54298.3158203934	52669.2533601592	54317.6833748642	47994.8787774078	54385.8795840783	53618.2762556022
52584.9951124289	53542.3139578648	54303.9166309483	54892.4290743326	54391.635068554	54399.8206151598
54342.4799417565	54523.3711937914	54292.4409760689	54903.8431982109	54370.8122347714	54444.2789615859
54419.4571807598	54566.6696001206	NaN	55159.018236077	53759.4113595246	NaN
54402.671043556	NaN	NaN	NaN	53755.5144641255	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.5902777779	40103.5451388889	40103.96875	40103.9340277779	40103.5798611111	40103.96875
40103.9340277779	40103.8368055556	40104.21875	40104.2222222222	40103.9722222222	40104.2222222222
40104.2638888889	40104.1770833334	40104.6666666667	40104.5208333334	40104.2951388889	40104.5520833334
40104.5381944445	40104.5138888889	40105.0277777778	40104.90625	40104.5347222222	40104.8784722222
40104.8229166667	40104.84375	40105.375	40105.1145833333	40104.7743055556	40105.2152777778
40105.1736111111	40105.1631944444	40105.5972222221	40105.4895833333	40105.2916666666	40105.5486111111
40105.5069444444	40105.4965277778	40106.0138888889	40105.8263888889	40105.5416666666	40105.8611111111
40105.8020833333	40105.78125	NaN	40106.1770833333	40105.8784722221	NaN
40106.2847222221	NaN	NaN	NaN	40106.1805555555	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
