Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
194.589425896858	193.481642032502	210.348090519505	192.588948268318	189.99068930679	194.81608391999
188.448115776072	189.031151030554	188.593573479975	185.891977283176	186.591797556544	188.614687546799
187.288308547585	185.276138856024	186.494259476663	195.402438639107	199.890602004162	187.032934669821
200.140933370718	199.614959301247	201.162943514327	190.266270743389	200.327810992198	200.251353656602
200.401627500336	200.019961326148	201.015593397153	200.432578380703	NaN	200.606663730046
NaN	NaN	NaN	200.415454144483	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.8263888889	40103.84375	40103.46875	40103.8298611111	40104.1111111111	40103.8506944445
40104.1493055556	40104.1145833334	40104.1423611111	40104.15625	40105.03125	40104.0972222222
40105.03125	40105.0416666666	40105.0625	40104.7708333334	40105.7986111111	40105.0659722221
40105.8298611111	40105.8125	40105.8159722221	40105.0347222221	40106.0277777778	40105.8020833333
40106.0034722221	40106.0208333333	40106.0138888889	40105.84375	NaN	40106.0173611111
NaN	NaN	NaN	40106.0208333333	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
