Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
123.602536960674	127.174019323303	123.733580605821	125.292713901507	125.722138982074	124.529029487747
126.622053619504	131.345828707178	154.63169721479	134.668475577683	131.957712923319	136.150785313219
128.87241536437	134.165581755807	131.873935792696	NaN	NaN	NaN
129.100149734503	134.188935127384	NaN	NaN	NaN	NaN
131.181959304755	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.7534722222	40104.2430555556	40104.4375	40104.3159722222	40104.3368055556	40104.2777777779
40104.3090277779	40105.2222222221	40105.4652777778	40105.2881944444	40105.2916666666	40105.2881944444
40105.1840277778	40105.6111111111	40105.9375	NaN	NaN	NaN
40105.5347222221	40106.2361111111	NaN	NaN	NaN	NaN
40106.0972222221	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
