Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
119.558235715564	114.437792907331	118.167676971807	106.614100376001	119.715902390885	109.745601621616
122.530555308409	124.537608972465	122.686839434238	124.496377048526	124.570231708441	123.66151143378
124.406370584626	130.59136297843	131.732965602939	131.57219337003	128.636977264617	129.073420810862
128.802211739158	131.478251223089	131.635423305915	NaN	NaN	NaN
128.99075232727	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.6180555556	40103.6180555556	40103.6840277779	40103.5972222222	40103.6666666667	40103.59375
40103.8715277779	40104.5208333334	40104.6423611111	40104.5138888889	40104.5625	40104.5
40104.5486111111	40105.3784722221	40105.8611111111	40105.5555555555	40105.5659722221	40105.5486111111
40105.3229166666	40105.7916666666	40106.0347222221	NaN	NaN	NaN
40105.6840277778	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
