Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
33.3495033880845	33.686420155409	33.3798367714512	33.941057404514	33.357829599644	33.4017091637356
33.481575930183	33.7236519838913	33.3787966875617	33.9962192338832	33.4465759726003	33.5103611599948
33.453988179639	33.7040317133614	33.4103335056927	34.2504593884573	33.4367980880376	33.5299804384284
33.4447295137839	33.4971539966438	33.504834508098	30.4551110849941	33.5526770887891	33.6071561820026
33.6814151450582	33.6755213596088	33.4803215258634	34.4725640097238	33.5544449195815	33.5835509207437
33.6859723739076	33.6311131277538	33.4367168260169	34.0787894510506	33.4316082593614	33.5761325696831
33.5287558642707	33.6119899550258	NaN	34.046523954575	NaN	33.5533892718275
33.5063819298557	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.75	40103.9756944445	40104.0243055556	40104.1076388889	40103.8159722222	40104.0451388889
40104.1215277779	40104.3715277779	40104.3784722222	40104.3784722222	40104.1597222222	40104.4097222222
40104.4027777779	40104.6493055556	40104.9201388889	40104.6631944445	40104.3888888889	40104.6875
40104.6631944445	40105.0138888889	40105.2326388889	40104.9722222221	40105.2326388889	40105.0520833333
40104.9791666666	40105.3506944444	40105.7881944444	40105.34375	40105.6979166666	40105.3993055555
40105.3645833333	40105.7916666666	40106.1215277778	40105.6458333333	40106.0277777778	40105.7604166666
40105.6909722221	40106.1041666666	NaN	40106.0381944444	NaN	40106.0902777778
40106.1076388889	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
