Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
33.3291804377296	33.3800180731922	33.1848158420335	33.8244836366994	33.2532295272114	33.1924325325802
33.0851283839536	32.3596673471606	33.3556591410911	33.924597343418	33.1613598762075	33.183450449375
33.4131529171569	33.3864907455725	33.3293395252245	33.8257499183597	33.412585054234	33.3722617597297
33.4251932901534	32.2557973991245	33.3927378594738	30.3051407266942	33.392620969155	32.7103961100941
33.3689941927532	32.9224709168296	33.3827610914689	29.0957039919978	33.4232975437805	33.0043449278546
32.2719119766838	33.5319307233842	33.4037873856012	33.7929195907146	33.0549538995713	33.4433108503761
33.416186853414	33.586666220039	NaN	33.8528901866957	33.0673657615624	33.518887706029
33.4925954216711	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.6701388889	40103.7916666667	40103.7013888889	40103.7430555556	40103.6805555556	40103.6979166667
40103.9270833334	40104.1770833334	40104.2118055556	40104.2222222222	40103.96875	40104.2222222222
40104.2569444445	40104.5138888889	40104.5798611111	40104.5243055556	40104.2708333334	40104.5555555556
40104.5451388889	40104.84375	40105.03125	40104.90625	40104.5590277779	40104.875
40104.8125	40105.15625	40105.5798611111	40105.1145833333	40105.5416666666	40105.2118055555
40105.1736111111	40105.5	40105.9652777778	40105.4895833333	40105.8819444444	40105.5486111111
40105.5069444444	40105.9548611111	NaN	40105.8333333333	40106.1805555555	40105.9236111111
40105.9618055555	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
