Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
28.6650563383527	28.6825433465161	28.7492923391997	28.637655786583	28.73384849708	28.7823789400739
28.4351986627904	28.4546473617295	28.4656120124987	28.4482913320653	28.4318634951121	28.4230268251805
28.3781614806797	28.3820400368509	28.3816680182158	28.3794844022029	28.4516626866132	28.4579917159913
28.3802529314542	28.393375919494	28.3875869127435	28.3870148900047	28.3951818492362	28.3953264210635
28.3655303657573	28.3523995145993	28.3476848965735	28.3635947120976	28.3427784271559	28.3463095774557
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.7222222222	40103.7083333334	40103.7118055556	40103.7222222222	40103.7013888889	40103.7048611111
40104.5555555556	40104.5625	40104.5520833334	40104.5555555556	40104.1909722222	40104.2048611111
40105.0416666666	40105.0347222221	40105.03125	40105.0451388889	40104.5659722222	40104.5659722222
40105.5868055555	40105.5694444444	40105.5659722221	40105.5868055555	40105.5555555555	40105.5625
40105.9548611111	40105.9513888889	40105.9583333333	40105.9583333333	40105.9479166666	40105.9513888889
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
