Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-74.6099787553936	-74.1581782662402	-74.6175273512016	-73.4918911299343	-73.3323001227278	-73.9053226348569
-73.6131440199836	-73.9613704858297	-71.3723299498796	-73.1258339048136	-73.4212196700938	-71.9843615552313
-72.6084253841086	-72.5860837450234	-71.0720312628723	-72.6068836239527	-72.880817616716	-72.8181683857907
-73.5125568311804	-74.0949506606699	NaN	-74.4681471240621	-74.6844540513299	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.8159722222	40103.7986111111	40104.2534722222	40103.8125	40103.7847222222	40104.21875
40104.2291666667	40104.1631944445	40105.0625	40104.1631944445	40104.0277777779	40105.0486111111
40105.0451388889	40105.0694444444	40106.1006944444	40105.0590277778	40105.0520833333	40106.0763888889
40106.1215277778	40106.0868055555	NaN	40106.1145833333	40106.0868055555	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
