Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-75.2276743630423	-74.6215709550554	-80.2847293498374	-74.2961964998591	-73.6750670716784	-78.1695005917588
-74.6712369393046	-74.3029038080832	-75.3263609224852	-73.7939682719785	-73.4658136924787	-75.1752253223503
-75.6175708741278	-75.7289881725524	-74.2288051300963	-75.6602107107337	-75.2300015533856	-74.4637308746086
-75.0547440726632	-75.2083395262051	NaN	-75.808540713122	-75.7839866737917	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.6111111111	40103.6354166667	40103.5347222222	40103.6354166667	40103.6215277779	40103.5486111111
40103.90625	40103.9236111111	40104.5173611111	40103.9548611111	40103.9236111111	40104.5590277779
40104.5104166667	40104.5451388889	40105.5208333333	40104.5555555556	40104.5590277779	40105.6111111111
40105.6145833333	40105.6180555555	NaN	40105.6319444444	40105.6423611111	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
