Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.370539269376167	-0.469873116156464	-0.425430180679399	-0.410928624642565	-0.370036649744122	-0.392132115150787
-0.190687017076726	-0.127398621278417	-0.133392944176421	-0.211618843801205	-0.125244696953075	-0.168643406968243
-0.290045121049957	-0.489225811479713	-0.496754803255698	-0.349149017060199	-0.414931224857582	-0.443162131073734
-0.180056267091345	-0.16150749834236	-0.102920263273035	-0.198636420883105	-0.098890345692638	-0.135030873898643
0.125490547317384	-0.235822904827728	-0.22212876996241	0.0278127177239753	-0.22869697271193	-0.223920331821489
-0.175177477112925	-0.0261717759588578	-0.0329887763580246	-0.176070820523677	-0.045341794046152	-0.0260481398795775
-0.00789525756565013	NaN	NaN	-0.0102838500787357	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.7013888889	40103.6944444445	40103.7118055556	40103.7013888889	40103.6944444445	40103.6979166667
40104.0277777779	40103.9965277779	40103.9965277779	40104.0416666667	40103.9930555556	40103.9861111111
40104.6597222222	40104.6631944445	40104.6805555556	40104.65625	40104.6736111111	40104.6701388889
40104.9270833333	40104.9340277778	40104.9652777778	40104.9444444444	40104.9201388889	40104.96875
40105.2013888889	40105.6944444444	40105.6979166666	40105.1944444444	40105.6909722221	40105.6875
40105.7048611111	40105.9652777778	40105.9548611111	40105.7083333333	40105.9652777778	40105.9583333333
40105.9652777778	NaN	NaN	40105.96875	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
