Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.166698910889082	0.148623092040893	0.0236286889364692	0.238142094758572	0.0408277552357532	0.138099980863089
0.0564636123406217	0.0624506049956608	0.0336784391842855	0.0574740850734656	0.0619791500610347	0.0955095083652253
0.0623647735244077	0.0398212910691882	0.0595051942101605	0.0977198287430383	0.051370724907585	0.098862099317131
0.00810986938554947	0.0863940712956719	0.0283457089470005	NaN	0.0716224667678205	0.0712502118342115
0.0311505857907548	0.0537545734126752	0.576632716802777	NaN	0.0243190246711151	0.116958134331497
NaN	NaN	0.00980751884335973	NaN	NaN	NaN
NaN	NaN	0.0587275010161648	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.6666666667	40103.7048611111	40103.7638888889	40103.7048611111	40103.7256944445	40103.71875
40103.9618055556	40104.7395833334	40104.0347222222	40105.1284722221	40104.1284722222	40104.1319444445
40104.6701388889	40105.0972222221	40104.3159722222	40105.7361111111	40104.7048611111	40104.6979166667
40105.4236111111	40105.5069444444	40104.7708333334	NaN	40105.7465277778	40105.1979166666
40105.8645833333	40105.8715277778	40105.3576388889	NaN	40106.125	40105.7604166666
NaN	NaN	40105.8958333333	NaN	NaN	NaN
NaN	NaN	40106.1458333333	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
