Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.00282736624978952	-0.0380987541453592	NaN	-0.0968109833437012	-0.00705298416822586	-0.00721637530858743
-0.0415400578888168	-0.0127231677237418	NaN	-0.0537346090499398	-0.0154887204091452	-0.00507830761623751
-0.0105100938646459	-0.0425699595832114	NaN	-0.0263295994512802	-0.0131732078673252	-0.0247642276695075
NaN	-0.0218833637600397	NaN	-0.00651391367531318	NaN	-0.0203554683809486
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40104.7534722222	40104.0902777779	NaN	40104.7881944445	40103.8958333334	40104.1493055556
40105.0868055555	40104.4375	NaN	40105.0520833333	40105.7986111111	40104.4791666667
40105.4201388889	40104.7569444445	NaN	40105.3993055555	40106.0972222221	40104.7951388889
NaN	40105.0798611111	NaN	40105.7395833333	NaN	40105.1284722221
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
