Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0172962746845542	0.0156313934455454	0.0628102218242077	0.0249657482920895	0.0115270146083475	0.0483409890302369
0.0177663986089556	0.00755023255140941	0.027263337155631	0.0171668268576326	0.0299359740654523	0.0246661375955028
0.0238320648013968	0.0311120010069317	0.0403170070820664	0.0334968309096979	0.0135931568744638	0.0338980837065463
0.0392988452087337	0.0354251338813611	0.0437394103468449	0.0378278184273171	NaN	0.0360626671042183
-0.00543577313325727	0.0188051398529296	0.0368759974274013	0.0235496882793313	NaN	-0.00706783217150075
0.0205038103292168	NaN	NaN	0.011245245938909	NaN	0.0196534924783549
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.7083333334	40103.7083333334	40103.6770833334	40103.7152777779	40103.6944444445	40103.6909722222
40104.1388888889	40104.0173611111	40103.9895833334	40104.0590277779	40104.9305555555	40103.9895833334
40104.6423611111	40104.6631944445	40104.6736111111	40104.6701388889	40105.7430555555	40104.6875
40104.9375	40104.9479166666	40104.9583333333	40104.9513888889	NaN	40104.9513888889
40105.2256944444	40105.7222222221	40105.7326388889	40105.7361111111	NaN	40105.2569444444
40105.7326388889	NaN	NaN	40106.0243055555	NaN	40105.7222222221
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
