Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.00364183762428638	-0.00633552182677022	0.0122006745165635	-0.0384271914371084	-0.020664885600354	0.0112737008937529
-0.0416504908996558	-0.0248430510229554	-0.0161771843560956	-0.0116250522901709	-0.0338346139702992	-0.0180245278639148
0.00785161536708756	0.00909052439864411	0.0106213401583233	-0.0350836793422502	NaN	0.0122674585916656
-0.0210139259234268	-0.0327992736540921	-0.0464213177594246	0.005540532313006	NaN	-0.0300938451921695
-0.0311518652553957	-0.0102872373744418	NaN	-0.0361390509968089	NaN	-0.0197384169714354
NaN	NaN	NaN	-0.00043053362715284	NaN	-0.0120625514870625
NaN	NaN	NaN	-0.0105061160540032	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40103.8576388889	40103.8541666667	40103.8541666667	40103.5208333334	40104.3715277779	40103.8576388889
40104.3472222222	40104.3402777779	40104.3402777779	40103.875	40105.3472222221	40104.3611111111
40104.78125	40104.7986111111	40104.8159722222	40104.3090277779	NaN	40104.8229166667
40105.1180555555	40105.34375	40105.1666666666	40104.8090277779	NaN	40105.1319444444
40105.3645833333	40106.1805555555	NaN	40105.3472222221	NaN	40105.3854166666
NaN	NaN	NaN	40105.8958333333	NaN	40106.1770833333
NaN	NaN	NaN	40106.1979166666	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
