Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	11947068.71	534100.9589	1423.5	303599.9916	726323.4137	0.044705607	0.000119151	0.025412091	0.060795115	855.426901	211.2976732	8.348514719	157.1365441	28.81197701	1.521994466	187.9084392	8.298514719	114.1365446	28.22197701	465.1343258	206.228174	8.344096115	126.2295675	28.48151189	276.7189588	4.38950163	0.00729297	7.185979655	0.196090657	0.012015707	0.573780903	1.11E-05	0.176147083	0.005439236	0.043871415	-0.000396313	0.312781747
Sensor2	NaN	628502.9477	1429.499983	219149.9932	726959.7813	0.052607293	0.000119653	0.018343411	0.06084838	NaN	216.0991583	8.341457275	128.1306825	28.82122672	NaN	185.0976522	8.311457275	109.1306828	28.23122672	NaN	208.8086889	8.327387508	117.8399849	28.50611044	NaN	6.007235969	0.008171386	3.44320739	0.205442101	0.017657339	0.661574768	-3.27E-06	0.012275516	-0.000826083	0.004407569	-0.000361134	0.23661153
Sensor3	NaN	653295.3092	3801.000001	41550.00003	727457.4542	0.054682477	0.000318153	0.003477841	0.060890037	NaN	214.5389474	8.440296665	124.1822652	28.83486095	NaN	186.1083534	8.330296665	118.1822652	28.21486095	NaN	208.6459815	8.418901317	119.8450559	28.52532606	NaN	5.25651408	0.021483936	1.773069555	0.21853473	0.012435359	0.428547347	7.04E-05	0.822289694	0.003784391	0.348833656	-0.000463153	0.343942713
Sensor4	NaN	569851.6253	615.0000001	489749.9998	726013.4536	0.047698029	5.15E-05	0.040993319	0.06076917	NaN	212.1003212	8.334716361	124.5234141	28.79264524	NaN	186.2055464	8.294716361	90.52341409	28.23264524	NaN	206.0341727	8.318669849	109.8373676	28.4695057	NaN	4.726188211	0.010768043	3.929561063	0.181634809	0.013453357	0.620464775	-3.37E-06	0.007511684	-0.006662519	0.220123614	-0.000357494	0.296632122
Sensor5	NaN	526568.0303	550.4999997	101250.0001	727686.1136	0.044075082	4.61E-05	0.008474882	0.060909176	NaN	212.1732632	8.322090335	136.5562394	28.82753387	NaN	187.9033272	8.302090335	119.5562394	28.21753387	NaN	207.4302717	8.313601963	123.614379	28.53416177	NaN	4.675324722	0.006234145	4.661114866	0.220462671	0.013105638	0.601686961	8.87E-07	0.00155172	0.006832179	0.164519253	-0.000412338	0.267864044
Sensor6	NaN	548121.601	2944.5	85199.99919	728078.4753	0.04587917	0.000246462	0.007131456	0.060942018	NaN	213.231246	8.429663606	124.1377166	28.83462648	NaN	186.178996	8.309663606	108.1377166	28.21462648	NaN	207.4847527	8.394663606	111.5679491	28.54939392	NaN	5.052091305	0.021074099	2.049623765	0.232494031	0.013838637	0.574542364	5.06E-05	0.441923197	-0.004105664	0.307253117	-0.000494172	0.345948204
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	17956110.74	745516.0727	2326.5	529649.9848	1296100.652	0.041518795	0.000129566	0.029496921	0.072181592	990.7916338	209.857286	8.358514719	128.1365442	28.541977	1.080913819	185.3856671	8.298514719	124.1365442	28.25197701	391.2099416	201.6648905	8.339364392	125.7639952	28.42276132	314.6473531	6.258061545	0.014507154	0.992619824	0.029053703	0.015786163	0.629972613	3.31E-05	0.514374745	-0.002282521	0.523493952	3.09E-05	0.111864279
	NaN	841755.729	3346.499969	755999.9878	1296382.938	0.046878511	0.000186371	0.042102658	0.072197312	NaN	215.0631877	8.361457275	131.1306826	28.52122671	NaN	184.3068906	8.321457275	124.1306826	28.24122672	NaN	202.6813764	8.344725249	125.7319897	28.42880842	NaN	8.79108243	0.012451488	1.160421141	0.0317479	0.022556443	0.651785469	3.15E-05	0.632697926	-0.00280676	0.57919871	5.08E-05	0.253111946
	NaN	828322.6247	3148.5	216900	1296463.159	0.046130403	0.000175344	0.012079453	0.07220178	NaN	214.721049	8.350296665	131.1822652	28.60486095	NaN	183.1565649	8.310296665	121.1822652	28.23486095	NaN	201.2411358	8.339250914	122.960043	28.43054722	NaN	9.016765385	0.011763201	1.225937998	0.041876458	0.019845204	0.479576368	2.61E-05	0.488078379	0.001522695	0.152734357	6.57E-05	0.244022394
