Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	514734.9883	1431	314249.9999	726170.4137	211.2976732	8.348514719	158.1365442	28.81197701	191.5602485	8.308514719	114.1365442	28.22197701	4.017074235	0.006394466	7.952423492	0.195497366	380468.3463	1775.999999	88650.00002	1221734.314	0.004667931	0.233002301	3.21113261	203.8771623	8.348514719	127.1365442	28.76197701	185.3856671	8.298514719	122.1365442	28.40197701	192.7023914	8.329903608	124.2059887	28.47933812	3.731195689	0.008819171	1.422362744	0.085787068	325.4084759	0.591585058	-1.494507351	0.324579281	13.62174886	0.098087426
Sensor2	599003.1227	1426.499992	221849.9991	726797.7813	216.0991583	8.341457275	128.1306826	28.82122672	185.6137768	8.311457275	109.1306826	28.23122672	5.796116733	0.008326445	3.615364687	0.20525907	436594.2318	2354.999999	205800	1221574.626	0.005394025	0.471375902	2.797963274	198.2631312	8.341457275	127.1306826	28.78122672	184.0881309	8.321457275	119.1306826	28.40122672	191.7014839	8.326318386	123.9223492	28.4757406	3.287296155	0.005669957	2.403013842	0.092885596	359.5568975	0.384606872	-0.629228301	0.211568681	12.76772426	0.13015057
Sensor3	648785.7166	3816.000001	43499.99998	727278.9542	214.5389475	8.440296665	125.1822652	28.83486095	184.1619472	8.330296665	118.1822652	28.21486095	5.219839433	0.021100048	1.854635187	0.218712343	368514.2421	4212	74849.99998	1221832.535	0.01142968	0.20311291	3.315563946	198.2936219	8.380296665	123.1822652	28.81486095	183.1565649	8.320296665	118.1822652	28.40486095	191.7709123	8.358421665	119.9322652	28.48194428	3.681841551	0.016127497	1.027591385	0.108440148	174.0930708	0.581522753	-1.920268316	0.287233144	17.95813993	0.279751689
Sensor4	551301.286	612	489750	725858.9536	212.1003212	8.334716361	125.5234141	28.79264524	187.5956055	8.294716361	90.52341409	28.23264524	4.496915492	0.010864795	3.974749297	0.180385398	298468.0041	1228.499999	287400	1221611.481	0.004116019	0.962917284	4.09293949	198.6930757	8.324716361	126.5234141	28.76264524	183.8019378	8.304716361	114.5234141	28.40264524	190.7744836	8.313396916	121.2178585	28.47653413	3.696954874	0.006715656	2.911942561	0.081507742	433.0896798	0.61893392	-0.752127609	0.350962222	13.19895733	0.084681526
Sensor5	529256.0359	550.4999999	106049.9999	727519.6136	212.1732632	8.322090335	136.5562394	28.82753387	187.8382349	8.302090335	119.5562394	28.21753387	4.545322957	0.006234145	4.852982212	0.221170403	468334.9059	961.5000002	84000.00003	1221609.703	0.002053018	0.179358828	2.608410536	199.3158084	8.332090335	126.5562394	28.78753387	184.9450412	8.302090335	120.5562394	28.40753387	192.8714813	8.31452089	122.5215172	28.47663109	3.2049107	0.005577995	1.60599051	0.100125189	102.1695645	0.031620404	-0.91441712	0.209963005	14.85806056	0.215466162
Sensor6	527600.6541	2956.5	85200.00003	727907.4753	213.231246	8.429663606	124.1377166	28.83462648	188.2100356	8.309663606	108.1377166	28.21462648	4.812796115	0.020731163	2.049623767	0.233486071	396608.05	3802.5	244050	1221580.976	0.009587551	0.615343032	3.080071058	199.0419707	8.389663606	128.1377166	28.79462648	182.7969712	8.309663606	114.1377166	28.39462648	192.0600934	8.338274717	119.8356332	28.47601537	3.682582392	0.019382463	2.910205548	0.108380391	128.0439959	0.454183572	-0.602075708	0.226383408	13.34117359	0.154164563
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	696594.6698	2281.5	503100	1236390.5	209.857286	8.358514719	129.1365442	28.54197701	186.3149297	8.298514719	124.1365442	28.25197701	5.713265382	0.01290659	1.001769808	0.029323743	336338.899	1080	266100	1216545.814	0.003211047	0.791166293	3.617023834	200.4534198	8.338514719	129.1365442	28.43197701	183.8261181	8.288514719	127.1365442	28.25197701	191.695419	8.313792497	128.3379331	28.35767145	4.150649223	0.014040125	0.64319853	0.055415188	227.528975	0.592356659	-1.983292562	0.094456443	-1.055871995	0.000198723
	780449.7171	3238.499985	718349.9986	1236695.362	215.0631877	8.361457275	132.1306826	28.52122672	185.6137768	8.311457275	124.1306826	28.24122672	8.217729626	0.011909754	1.181038188	0.032311369	324746.2301	1723.5	451500	1216479.126	0.005307221	1.390316371	3.745937638	196.8943035	8.331457275	132.1306826	28.43122672	181.5202948	8.271457275	127.1306826	28.24122672	189.1180349	8.311735053	129.6515159	28.35608783	3.856218379	0.016427184	1.223137944	0.058834675	173.3369924	0.545237237	-0.52368405	0.027590929	2.921125393	0.001986296
	808539.7597	3039	209850	1236769.451	214.7210491	8.350296665	134.1822652	28.60486095	183.4661156	8.310296665	121.1822652	28.23486095	8.553827408	0.011293524	1.364524552	0.04284018	264447.6256	1515	305400	1216584.035	0.005728923	1.154860057	4.600472521	198.4224605	8.330296665	133.1822652	28.43486095	183.451969	8.260296665	123.1822652	28.22486095	189.3653705	8.295713332	125.3211541	28.35861095	2.989215787	0.016509163	2.067433499	0.057462362	128.5661465	0.504183705	0.35172271	0.059176515	-1.372493081	0.000696102
	742754.9501	2028	1511550	1236730.068	211.1788754	8.364716361	134.5234141	28.49264524	184.671422	8.304716361	124.5234141	28.25264524	6.339419085	0.013325616	1.092249502	0.029456099	429336.2528	1243.5	698250	1216502.481	0.002896331	1.626347637	2.833449244	203.6017868	8.344716361	135.5234141	28.44264524	184.246303	8.284716361	126.5234141	28.25264524	193.8172838	8.313848305	130.8011919	28.35667302	4.005355544	0.015009669	2.318802573	0.054916586	157.392122	0.347877276	-0.202786799	0.013782397	2.076980546	0.000810942
	683352.2581	1957.5	252600	1236453.723	212.4079193	8.352090335	131.5562394	28.55753387	186.9009531	8.312090335	123.5562394	28.23753387	6.716171291	0.00840659	0.849824233	0.037244627	328638.5894	1065	376350	1216706.203	0.003240642	1.145178966	3.702262127	198.5227813	8.352090334	131.5562394	28.43753387	181.9496398	8.292090335	125.5562394	28.22753387	189.6426792	8.317090335	129.3270727	28.36135331	3.27155218	0.013432036	1.471019578	0.062600929	164.2354296	0.454683993	-0.118101145	0.002819924	-6.347900317	0.014754145
	658402.8685	2507.999999	721350	1236532.752	213.2120725	8.369663606	136.1377166	28.60462648	187.0605017	8.309663606	123.1377166	28.22462648	7.216725913	0.014326808	1.671572452	0.045060658	333815.3676	2137.5	773550	1216647.476	0.00640324	2.317298948	3.644671858	197.837623	8.339663606	136.1377166	28.44462648	183.7690899	8.249663606	128.1377166	28.20462648	190.6105112	8.299594161	132.1654943	28.3599737	3.450591054	0.019771298	1.982244416	0.060486526	100.7056129	0.332958989	-0.118083584	0.004601575	-6.916724535	0.014700471
																																													
	intdayDOXY3	intdaypH3	intdayORP3	intdayTC3	maxdayDOXY3	maxdaypH3	maxdayORP3	maxdayTC3	mindayDOXY3	mindaypH3	mindayORP3	mindayTC3	meandayDOXY3	meandaypH3	meandayORP3	meandayTC3	intDOXY3	intpH3	intORP3	intTC3	ratioDOXY_pH3	ratioDOXY_ORP3	ratioDOXY_TC3	DOXYmax3	pHmax3	ORPmax3	TCmax3	DOXYmin3	pHmin3	ORPmin3	TCmin3	DOXYmean3	pHmean3	ORPmean3	TCmean3	DOXYstd3	pHstd3	ORPstd3	TCstd3	slopesDOXY_pH3	rsqDOXY_pH3	slopesDOXY_ORP3	rsqDOXY_ORP3	slopesDOXY_TC3	rsqDOXY_TC3
	750501.0316	1941	646500	1233281	209.5259387	8.348514719	131.1365442	28.46197701	188.9411292	8.288514719	128.1365442	28.22197701	4.871511574	0.014766327	0.427723703	0.04595535	720203.8423	1414.5	358800	1206961.721	0.001964027	0.498192288	1.675861263	204.434922	8.338514719	131.1365442	28.39197701	196.3363183	8.308514719	128.1365442	28.28197701	200.7253973	8.321731503	130.5561246	28.33232666	1.65390938	0.006671507	0.799758656	0.025547872	20.1285831	0.006592512	0.695532863	0.113117497	-1.402113955	0.000469086
	822404.8426	2789.999985	1002899.999	1233290.362	211.2892561	8.351457275	135.1306826	28.48122672	188.5535397	8.271457275	130.1306826	28.18122672	5.786244749	0.01763925	1.4772883	0.057565186	804555.4863	2502	598950	1206389.758	0.003109792	0.744448345	1.4994488	204.5431145	8.341457275	134.1306826	28.39122672	196.0054929	8.321457275	130.1306826	28.27122672	200.3922341	8.330198534	133.1866266	28.31891902	1.91383077	0.00528979	1.079751039	0.026898147	50.95420144	0.019834889	0.87241102	0.242260429	5.448477707	0.00586392
	913516.0717	2299.500001	1088850	1232968.451	212.5456893	8.340296665	171.1822652	28.47486095	187.9261211	8.280296665	133.1822652	28.20486095	5.721673754	0.010340449	10.08817292	0.052573632	788499.4053	931.5000003	597450	1205998.576	0.001181358	0.757705074	1.529485715	205.9908435	8.300296665	134.1822652	28.37486095	196.7537171	8.270296665	130.1822652	28.26486095	201.6544687	8.282184777	132.2172302	28.30975605	2.135641339	0.011255737	1.103212897	0.028652044	-20.18378352	0.01131609	0.5213255	0.072523701	2.482048529	0.001108856
	840880.0727	2212.5	1852500	1233442.068	211.3333951	8.364716361	140.5234141	28.45264524	188.4437946	8.294716361	131.5234141	28.22264524	5.49533232	0.017541502	1.38095556	0.049442618	716992.0584	2314.5	1028550	1206936.187	0.003228069	1.434534718	1.683332714	206.9027344	8.344716361	140.5234141	28.39264524	197.3022972	8.324716361	134.5234141	28.28264524	200.6268868	8.339052025	138.6632742	28.33173615	1.604197261	0.005381167	1.527224301	0.024721237	7.555191289	0.000642286	0.082647631	0.006190859	-4.621445784	0.005072016
	756430.4091	2323.5	459750	1233077.223	210.6505221	8.362090335	134.5562394	28.50753387	190.8886282	8.292090335	128.5562394	28.15753387	5.06109145	0.016276463	1.321812929	0.060676483	806584.4376	2161.5	548550	1206005.943	0.002679819	0.680089987	1.495201105	208.1466496	8.352090335	134.5562394	28.38753387	195.9113986	8.332090335	130.5562394	28.26753387	200.8750648	8.342859566	133.4303653	28.30991149	2.510323729	0.006399485	0.910557273	0.027423595	-7.000251154	0.000318462	1.098099058	0.158649282	9.413411737	0.010575074
	754832.9162	1900.499999	1045200	1232910.252	211.3559369	8.359663606	142.1377166	28.48462648	190.590059	8.279663606	128.1377166	28.20462648	4.979634287	0.015255964	2.843226958	0.053243809	771799.9143	2536.5	1058850	1205873.088	0.003286474	1.37192293	1.562416717	203.6803592	8.339663606	142.1377166	28.37462648	196.2567953	8.289663606	133.1377166	28.25462648	200.9051444	8.309244025	138.9908634	28.30672438	1.897791913	0.012496429	2.364520741	0.029211544	17.68679321	0.013563534	0.239140283	0.088775791	7.273265565	0.012533453
																																													
	intdayDOXY4	intdaypH4	intdayORP4	intdayTC4	maxdayDOXY4	maxdaypH4	maxdayORP4	maxdayTC4	mindayDOXY4	mindaypH4	mindayORP4	mindayTC4	meandayDOXY4	meandaypH4	meandayORP4	meandayTC4																													
	140451.9606	298.5000001	152700	255020.7931	204.9631354	8.328514719	131.1365442	28.34197701	200.2681092	8.318514719	130.1365442	28.33197701	1.11414239	0.00475191	0.179605302	0.004863735																													
	147674.8542	587.9999967	224999.9997	254924.0404	206.5532988	8.341457275	134.1306826	28.33122672	200.3425443	8.331457275	134.1306826	28.30122672	1.161650062	0.005080005	0	0.006525385																													
	176466.3883	78	141450	254791.7485	205.1590542	8.280296665	136.1822652	28.31486095	201.4453313	8.270296665	133.1822652	28.30486095	0.792901204	0.003407771	0.85509227	0.005058794																													
	153818.0579	448.4999999	449850	255017.8072	204.4856798	8.344716361	140.5234141	28.34264524	199.04688	8.334716361	139.5234141	28.33264524	1.099925685	0.001796053	0.179605302	0.004448027																													
	135471.912	450	133800	254848.8048	205.6690235	8.342090335	134.5562394	28.32753387	199.7785698	8.342090335	132.5562394	28.29753387	1.098812003	1.81E-15	0.454369467	0.005622535																													
	136514.4582	286.5000001	305850	254753.6383	204.1611621	8.329663606	142.1377166	28.31462648	200.7160715	8.299663606	141.1377166	28.30462648	0.952887905	0.0077875	0.179605302	0.003407771																													
