Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
8.35419055346129	8.33392022895992	8.34937869311677	8.32725908570799	8.34527526155098	8.34941340738579
8.34583627377276	8.35995349213732	8.32991576505412	8.35634935280227	8.35889931438279	8.3349179902235
NaN	8.34915366144239	NaN	8.36039279005148	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40104.5104166667	40103.6284722222	40104.5243055556	40103.6354166667	40104.5659722222	40104.5625
40105.6145833333	40104.5416666667	40105.5034722221	40104.5555555556	40105.6527777778	40105.625
NaN	40105.6215277778	NaN	40105.6319444444	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
