Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
53956.7589005562	53934.9868510779	54124.7012900251	54071.0215745835	54101.9489205882	53938.5702560541
53927.1476977445	53999.2013457615	54037.7836626981	53961.1937639339	53975.2900809944	53921.7075215847
53903.5384182263	53978.1719332671	53975.6802312981	53940.7924445978	53927.5401026596	53940.7822536068
NaN	53804.1106414398	53914.364433996	53917.0307470009	53952.3730813011	NaN
NaN	53960.6341018803	53828.813111487	53924.0166959214	53881.2716317734	NaN
NaN	53840.9961573634	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39033.3333333334	39032.7708333334	39032.6145833334	39032.8298611111	39032.5659722222	39033.3958333334
39033.7048611111	39033.1354166666	39032.9791666666	39033.1631944445	39033.1597222222	39033.6319444445
39034.2395833334	39033.4409722222	39033.2708333334	39033.3923611111	39033.6631944445	39033.9375
NaN	39033.7534722222	39033.6979166666	39033.7395833334	39034.1319444445	NaN
NaN	39034.1215277778	39034.2673611111	39034.2569444445	39034.4965277778	NaN
NaN	39034.4722222222	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
