Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
170.123798353777	169.491527097715	159.066246679042	167.93608406399	161.121860603497	166.33846270519
159.764403779093	159.311189995848	172.46825253008	161.395282138842	169.898786444992	169.308680066746
171.481178451425	172.337151673827	NaN	169.492751034115	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.4479166666	39032.4861111111	39033.1597222222	39032.4444444445	39033.1666666666	39032.4583333334
39033.1597222222	39033.1527777778	39033.5833333334	39033.1701388889	39033.6076388889	39033.6041666666
39033.5833333334	39033.5833333334	NaN	39033.6076388889	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
