Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
152.22352980935	151.380311741378	151.831897204522	153.717473952238	153.463347748655	153.427461058802
159.408709234023	158.578477914492	158.587923888947	161.022690202134	160.913105110676	153.967132330099
152.522841341221	151.641859044579	152.240639476442	154.187064825446	153.471320692158	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.9409722222	39032.9409722222	39032.9409722222	39032.9375	39032.9375	39032.9444444445
39033.2291666666	39033.2291666666	39033.2326388889	39033.2430555555	39033.2256944445	39034.0381944445
39034.0416666666	39034.0659722222	39034.0798611111	39034.0381944445	39034.0486111111	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
