Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
206.816752151683	223.689742728676	215.119118126736	215.40607146853	210.35374773892	203.827294587781
221.046173943988	230.847325377199	217.575805758086	219.628822902844	221.804101973174	225.565794766598
223.491256215908	NaN	218.356617040035	218.100340307247	226.839223404969	236.577943393401
232.180429749097	NaN	219.528619310285	220.636152205641	NaN	NaN
NaN	NaN	NaN	224.782291079539	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.6458333334	39033.2881944445	39032.5972222222	39032.6145833334	39032.5694444445	39032.6076388889
39033.3090277778	39034.2291666666	39033.1319444445	39033.0208333334	39033.3368055555	39033.2361111111
39033.7326388889	NaN	39033.3402777778	39033.3368055555	39034.3298611111	39034.1979166666
39034.2673611111	NaN	39033.7048611111	39033.625	NaN	NaN
NaN	NaN	NaN	39034.3090277778	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
