Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
204.569111043677	217.945357127894	214.932237518143	215.128825606431	209.094180098428	202.826906005772
218.615973418879	NaN	217.562872508351	217.096992744985	219.978919007282	207.976565969364
223.193737832628	NaN	217.199721993563	217.932757641811	NaN	216.98761813963
NaN	NaN	219.14199822726	219.758615941289	NaN	NaN
NaN	NaN	NaN	224.33833756343	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.7569444445	39033.5	39032.7083333334	39032.7395833334	39032.6736111111	39032.6875
39033.4791666666	NaN	39033.1701388889	39033.1944444445	39033.6666666666	39033.4409722222
39033.8159722222	NaN	39033.5	39033.4097222222	NaN	39034.4479166666
NaN	NaN	39033.8229166666	39033.7708333334	NaN	NaN
NaN	NaN	NaN	39034.4826388889	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
