Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
36.2145916470915	36.2020939281772	36.2084906944005	36.2022940326374	36.2007917603022	36.2114772342894
35.8725268104458	36.1894141623624	36.0387852844447	36.166105739535	36.1403754343143	35.8691633820026
36.0239268209369	35.8897218640906	NaN	35.8819220909721	36.0407058247801	36.0429309985387
NaN	36.0530328291944	NaN	36.0359803620444	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.6527777778	39032.6145833334	39032.6979166666	39032.6597222222	39032.6805555555	39032.65625
39033.5034722222	39032.9479166666	39034.0729166666	39032.9409722222	39032.9513888889	39033.5173611111
39034.0798611111	39033.5347222222	NaN	39033.5208333334	39034.0902777778	39034.0868055555
NaN	39034.0868055555	NaN	39034.0763888889	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
