Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
35.8539488476809	36.1518738263071	35.8249123904365	36.1418528114022	36.1094106674504	36.1669007687148
35.8386543351543	36.0590417750386	35.8544016975334	36.140829758903	36.1262958398792	35.8353619317319
35.9040454717917	35.8645662083538	NaN	35.8435481100076	35.8341331455063	35.8364623981547
NaN	35.7659269688826	NaN	35.8357666410265	35.924340707537	35.904477558307
NaN	35.9113369481798	NaN	35.916547939932	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39033.3888888889	39032.5	39033.6631944445	39032.5034722222	39032.5138888889	39032.4965277778
39033.6597222222	39032.7777777778	39034.2951388889	39032.8263888889	39032.8611111111	39033.3888888889
39034.3020833334	39033.4166666666	NaN	39033.3854166666	39033.6493055555	39033.6493055555
NaN	39033.7361111111	NaN	39033.6840277778	39034.3263888889	39034.3055555555
NaN	39034.375	NaN	39034.2986111111	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
