Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
24.5016723491565	24.4898522621675	24.4953354991468	24.5044628423584	24.4971330319977	24.4969612459699
24.7589918265239	24.7635917968093	24.7579759160419	24.7533884023374	24.7531065817489	24.7615778691595
24.7479565965903	24.7543500378329	24.7562527221322	24.747280142924	24.7529192992654	24.7460202516169
24.6456241391494	24.6452348361809	24.6418315847878	24.6459898366479	24.6423837687491	24.6490220927169
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.8298611111	39032.8333333334	39032.8263888889	39032.8263888889	39032.8298611111	39032.8263888889
39033.3993055555	39033.40625	39033.40625	39033.3854166666	39033.3923611111	39033.3854166666
39033.6527777778	39033.6423611111	39033.6423611111	39033.6631944445	39033.6458333334	39033.6631944445
39034.3055555555	39034.3159722222	39034.3159722222	39034.2986111111	39034.3020833334	39034.3020833334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
