Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
24.4678210672961	24.4678907290596	24.4750261582002	24.473875937277	24.4706572408581	24.4765210231488
24.4645585664082	24.4583660139938	24.4562664730892	24.4668099663638	24.4635312495125	24.4664782389314
24.7296422974669	24.738594940379	24.7385049376879	24.7173323114504	24.7289381171711	24.7168828900478
24.5193354528838	24.5122303883675	24.5143869536525	24.5232518775959	24.5190155008207	24.5235891245014
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.6840277778	39032.7048611111	39032.6979166666	39032.6805555555	39032.6979166666	39032.6909722222
39032.96875	39032.96875	39032.96875	39032.9652777778	39032.9652777778	39032.9618055555
39033.53125	39033.53125	39033.5243055555	39033.5208333334	39033.5173611111	39033.53125
39034.1006944445	39034.1041666666	39034.1041666666	39034.09375	39034.09375	39034.0902777778
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
