Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-68.1824737484433	-68.2154313661264	-68.2302706026779	-68.4142823539076	-68.2791865953269	-68.5326166241058
-68.3169368399192	-67.9118619108131	-66.6785335186265	-68.2033512463529	-68.3047560379539	-67.5845906092424
-68.2373311019437	-67.9565278511305	NaN	NaN	-68.4416714579895	-67.5529659319799
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39033.1770833334	39032.9236111111	39033.2152777778	39033.1770833334	39032.9097222222	39033.2118055555
39033.8993055555	39033.1770833334	39034.2152777778	39034.0173611111	39033.1354166666	39034.0138888889
39034.1597222222	39034.1805555555	NaN	NaN	39034.0277777778	39034.21875
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
