Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-1.02633553809574	-0.503961095564591	0.281828817394853	-0.12564364503487	0.859541178018844	-0.605447571826517
-0.993045803159475	5.14217076520436	0.243005703719973	0.213914781765197	-0.375810370147519	-0.97218649394199
-0.718546160198457	0.476711009483552	0.820842992070538	0.206107814337884	0.32269362223451	-0.439859063873882
0.329594261493185	0.482451793381188	1.8028085668775	0.537227140644973	1.05642990277556	0.0873385302256793
0.500073772571341	6.16607197668782	1.77872888794809	1.21467417567328	0.0845623958375654	1.28261826628295
0.261849455433548	0.558921263807861	NaN	0.0120007313089445	0.111431175231701	0.85869429835293
NaN	0.810440813424066	NaN	NaN	NaN	-0.152316519714077
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.5069444445	39032.5520833334	39032.6527777778	39032.6041666666	39032.6076388889	39032.6006944445
39032.7256944445	39032.84375	39033.0138888889	39032.8611111111	39032.9097222222	39032.78125
39033.1041666666	39033.1840277778	39033.3368055555	39033.1909722222	39033.2118055555	39033.1631944445
39033.3854166666	39033.4930555555	39033.8125	39033.4548611111	39033.8020833334	39033.4305555555
39033.8888888889	39033.8402777778	39034.3368055555	39033.8680555555	39034.1631944445	39033.7222222222
39034.2916666666	39034.1736111111	NaN	39034.2708333334	39034.5347222222	39034.0034722222
NaN	39034.5208333334	NaN	NaN	NaN	39034.3125
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
