Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-1.26291462775407	-6.90208742838877	-2.58715877580835	-1.54942095634033	-1.92593284800387	-1.12258417360863
-1.42149391594285	-2.62103504622792	-1.96533260369324	-2.58091397033422	-1.30018535583804	-1.68682739376527
-0.847678810619982	-0.872525225713616	-1.75817432858457	-0.786501916692941	-0.79724697113852	-0.669737288917531
-0.863036145274236	-5.07823941850074	-1.5327123848765	-0.923314597835997	-0.607841454657319	-0.62935168898548
-1.00615850865142	-2.03175544368423	-3.12580355410319	-0.975457988817652	-1.50388146569458	-0.87352865315188
-0.803354388030129	-3.17499394439801	-0.417925965513859	-0.397880658252689	NaN	-1.26951206233207
NaN	NaN	NaN	NaN	NaN	-0.792559543602692
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.6145833334	39032.6840277778	39032.4756944445	39032.71875	39032.7604166666	39032.7048611111
39032.8472222222	39033.0138888889	39032.8402777778	39033.0277777778	39033.0381944445	39032.9513888889
39033.2118055555	39033.3402777778	39033.1701388889	39033.3090277778	39033.46875	39033.2638888889
39033.5451388889	39033.6701388889	39033.53125	39033.6215277778	39034.0069444445	39033.5625
39034.1041666666	39034.0173611111	39034.1701388889	39034.0972222222	39034.34375	39033.8680555555
39034.4513888889	39034.3576388889	39034.4930555555	39034.3993055555	NaN	39034.1666666666
NaN	NaN	NaN	NaN	NaN	39034.4340277778
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
