Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.198461046717796	0.216978668725517	0.19170849260496	0.195016480544211	-0.108154366552327	0.163126557980405
0.209404567504009	0.257778046004972	0.236543010066754	0.115602956014953	0.196856407112278	0.148113666505225
0.184927301972493	0.246376054102399	0.215629692546429	0.104637447778344	0.136163243770341	0.0686177844908684
NaN	NaN	NaN	NaN	0.0848853921060027	0.123143315072468
NaN	NaN	NaN	NaN	0.12195442948871	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39033.0486111111	39033.0451388889	39033.0520833334	39033.0520833334	39032.6388888889	39033.0520833334
39033.3506944445	39033.34375	39033.3576388889	39033.3541666666	39033.0486111111	39033.3263888889
39034.3402777778	39034.3472222222	39034.3506944445	39034.3611111111	39033.3333333334	39033.53125
NaN	NaN	NaN	NaN	39033.53125	39034.3333333334
NaN	NaN	NaN	NaN	39034.3402777778	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
