Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.181499826974829	-0.189946687686188	-0.205654905387121	-0.141349545795492	-0.136783183202454	-0.153481556059091
-0.0280962788381203	-0.0493708346238293	-0.0349002783691219	-0.0266805498510507	-0.126161339285119	0.0130037449499696
-0.324519003727346	-0.359501650721626	-0.354075022013632	-0.252042284603306	-0.018880485990735	0.0544978607972268
NaN	NaN	NaN	NaN	0.0656919547455743	-0.238952599734631
NaN	NaN	NaN	NaN	-0.282583537298137	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.6006944445	39032.6180555555	39032.6944444445	39032.5868055555	39032.5277777778	39032.7152777778
39033.1944444445	39033.1875	39033.1944444445	39033.2013888889	39032.7534722222	39033.1875
39033.7326388889	39033.7291666666	39033.7291666666	39033.7395833334	39033.1944444445	39033.4618055555
NaN	NaN	NaN	NaN	39033.4583333334	39033.7395833334
NaN	NaN	NaN	NaN	39033.7395833334	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
