Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.107480433597743	0.118285771800402	-0.00953917846970853	-0.0116908542793794	-0.0635771022528502	-0.0681489717811132
0.000577904078824076	0.0372327764017371	-0.00182572509751822	-0.0803378627903157	0.0721230962223274	-0.000469214785397298
-0.0782251976659154	-0.15142445178256	-0.0396496732067817	-0.0118617433282679	0.0339696987563229	-0.487805453000163
-0.0192022519635486	0.0396573056912359	-0.0175833064709821	-0.0333439488023259	-0.0229221691872112	0.0292758266952831
0.0101333606849323	-0.162500443253805	NaN	-0.0143763956933185	-0.0381569992356958	0.0254197505570914
-0.0753418988969656	NaN	NaN	NaN	0.020362630241209	-0.458945737527301
NaN	NaN	NaN	NaN	-0.0514503896449128	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39032.6979166666	39032.625	39032.6354166666	39032.6805555555	39032.6145833334	39032.6423611111
39033.0763888889	39033.1180555555	39033.1493055555	39033.1041666666	39032.8888888889	39033.0729166666
39033.3923611111	39033.3958333334	39033.4236111111	39033.3715277778	39033.1215277778	39033.3472222222
39033.7743055555	39033.7743055555	39033.7569444445	39033.6909722222	39033.3888888889	39033.7118055555
39034.1041666666	39034.4097222222	NaN	39034.3854166666	39033.59375	39033.96875
39034.3715277778	NaN	NaN	NaN	39033.8993055555	39034.3298611111
NaN	NaN	NaN	NaN	39034.4479166666	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
