Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	15349758.76	275191.5326	824.9999997	377850	684121.4735	0.017928069	5.37E-05	0.024616022	0.044568875	986.53	174.141064	8.11251937	219.7356489	24.67548292	1.183599972	154.6836207	8.07251937	188.7356489	24.37548292	548.8619668	163.8845673	8.101987455	202.2994787	24.52165313	315.6599745	4.597654362	0.01176536	6.006373873	0.071287791	0.012434902	0.728871802	3.48E-05	0.87088008	-0.009688678	0.259264684	9.63E-05	0.181917297
Sensor2	NaN	301825.1842	1072.5	300000.0001	684356.0154	0.019663187	6.99E-05	0.019544281	0.044584154	NaN	174.9504732	8.125657246	223.3505459	24.67711525	NaN	155.6598	8.075657246	191.3505459	24.35711525	NaN	164.3826509	8.104061501	202.1590565	24.52998759	NaN	4.780306167	0.01229592	5.528570165	0.069524071	0.012269607	0.656430747	3.49E-05	0.802766305	-0.015315078	0.764630814	0.000107126	0.236568748
Sensor3	NaN	314145.6903	3033	48299.99999	684370.1288	0.020465839	0.000197593	0.003146629	0.044585074	NaN	174.7792097	8.190617626	217.0288343	24.68133077	NaN	154.0902538	8.070617626	213.0288343	24.38133078	NaN	164.3840141	8.149128265	214.7735152	24.53037333	NaN	5.131392903	0.025057244	0.761099519	0.071633313	0.014349842	0.779224735	7.07E-05	0.792944271	-0.001227514	0.259184438	0.000106968	0.22218522
Sensor4	NaN	219440.083	1017	47549.99998	684178.0337	0.014295996	6.63E-05	0.003097769	0.044572559	NaN	172.4973443	8.117321271	216.4804984	24.66121985	NaN	154.9578777	8.077321271	213.4804983	24.36121985	NaN	162.8405622	8.10370425	215.1932643	24.52356027	NaN	4.028826319	0.009710992	0.875255297	0.069582867	0.010090174	0.624998955	2.52E-05	0.669535166	-0.000616087	0.049368944	8.56E-05	0.150665935
Sensor5	NaN	223569.5251	508.4999999	144450	684294.9291	0.014565019	3.31E-05	0.009410571	0.044580175	NaN	171.9809446	8.104532048	220.5359659	24.66809781	NaN	155.7261974	8.074532048	204.5359658	24.35809782	NaN	163.0379454	8.092723537	209.7593701	24.52767228	NaN	3.55553365	0.00603979	2.190665707	0.071058281	0.008773065	0.606641511	1.38E-05	0.519205616	-0.002606877	0.141100318	0.000103547	0.211586444
Sensor6	NaN	218158.7069	2062.5	478800.0001	684112.9394	0.014212517	0.000134367	0.031192673	0.044568319	NaN	171.5905608	8.155720637	227.564492	24.6630265	NaN	155.0964267	8.075720637	183.564492	24.3430265	NaN	162.7539444	8.129444042	200.7772579	24.52121799	NaN	3.502445307	0.014736688	6.209379546	0.067249539	0.008459417	0.58126899	3.93E-05	0.709712115	-0.012042494	0.374779191	7.12E-05	0.111811077
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	22535400.39	576202.4673	804.0000002	1451100	1113017.231	0.02556877	3.57E-05	0.064392022	0.049389725	1036.2	172.8266512	8.10251937	233.7356489	24.81548292	1.2546	154.680351	8.07251937	217.7356489	24.59548292	497.4789882	166.7378332	8.090267714	221.0204171	24.73283391	305.52345	4.458413642	0.009177667	2.034297531	0.049351825	0.012617568	0.747617945	2.37E-05	0.620719836	-0.004308154	0.418641882	5.42E-05	0.112773642
	NaN	617924.1634	1240.5	1363200	1113107.186	0.027420155	5.50E-05	0.060491492	0.049393717	NaN	179.058488	8.105657246	229.3505459	24.83711525	NaN	153.5551771	8.065657246	217.3505459	24.56711525	NaN	167.2034732	8.093074465	221.6750492	24.73476426	NaN	5.294723828	0.01235387	2.711825139	0.056112411	0.014362196	0.686821933	3.49E-05	0.746723673	-0.008023921	0.817219986	7.99E-05	0.189358343
	NaN	623120.4755	1906.5	240000	1113097.385	0.027650739	8.46E-05	0.010649911	0.049393282	NaN	174.0444803	8.090617626	225.0288343	24.82133078	NaN	153.5120743	8.040617626	217.0288343	24.58133078	NaN	166.8912177	8.082803057	218.3798277	24.73450959	NaN	5.185722465	0.009790747	1.114741677	0.052806197	0.014515552	0.731370901	2.79E-05	0.757655992	-0.001734682	0.226037477	7.37E-05	0.181663461
	NaN	486875.6626	783.0000001	255600	1112897.393	0.021604926	3.47E-05	0.011342155	0.049384407	NaN	171.4612761	8.097321271	224.4804983	24.82121985	NaN	156.2570891	8.067321271	216.4804983	24.58121985	NaN	165.7180414	8.084672265	219.16924	24.73022647	NaN	3.297916295	0.004993594	1.342561881	0.04937955	0.007874967	0.532239739	1.05E-05	0.413919587	0.000447066	0.010350546	2.86E-05	0.031285146
	NaN	503775.5122	697.5000001	743400	1113043.402	0.022354851	3.10E-05	0.032988098	0.049390886	NaN	175.3952976	8.104532048	226.5359658	24.81809782	NaN	156.0269549	8.074532048	218.5359658	24.57809782	NaN	166.1461553	8.089962511	221.0723897	24.73339583	NaN	3.560179646	0.00629657	1.204296942	0.049434238	0.008461969	0.527336895	1.37E-05	0.442056239	-0.000913876	0.053752284	4.80E-05	0.088071096
