Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
53841.4689776828	53812.087977148	53955.1943339725	53930.3656967615	53869.6069096315	53880.5205828573
53838.542289221	53852.7284953116	53949.9297448397	53951.4923927749	53835.9446495082	53844.7922260865
53914.6290084556	53861.0835699232	53986.5756835924	53925.8538714029	53870.7451860584	53876.7800116067
53874.5828931594	53940.4053546474	53988.9185316446	53912.429724476	53920.4983706887	53894.4009116117
53906.743993155	NaN	54021.8319619425	53944.5856342257	53916.5555065131	53870.4785991624
53937.7346594449	NaN	53952.4330322491	53983.8579218568	53928.6071397458	53903.643293453
53961.9597996585	NaN	NaN	54011.3379068392	54016.139348534	53933.9517227365
NaN	NaN	NaN	NaN	54049.9877774711	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.7048611111	39020.201388889	39019.7152777779	39019.5277777779	39019.5486111111	39019.5277777779
39020.1215277779	39020.6215277779	39020.1215277779	39020.21875	39020.1736111111	39020.15625
39020.6597222222	39021.2881944444	39020.6111111111	39020.6284722222	39020.5902777779	39020.625
39021.0416666666	39022.0763888889	39021.3958333334	39020.888888889	39020.8159722222	39020.8194444445
39021.4722222222	NaN	39021.6666666666	39021.2395833334	39021.1944444444	39021.0451388889
39021.7291666666	NaN	39022.1076388889	39021.75	39021.4722222222	39021.8229166666
39022.1979166666	NaN	NaN	39022.1736111111	39021.71875	39022.1805555555
NaN	NaN	NaN	NaN	39022.1041666666	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
