Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
53825.3768017359	53743.84767017	53915.0433437834	53127.8981503539	53770.6028096251	53771.9825758539
53754.5453592956	53735.3536214708	53713.6675975074	53768.3092713563	53769.327022007	53737.3169532264
53768.3252198222	53811.9582701226	53820.3515934035	53911.3784123763	53857.4380324592	53875.7773897186
53765.6857832941	53845.4829184565	53281.9582642462	53902.5285349014	53529.3570049193	53869.6560802332
53773.1345823708	53876.3262202329	53953.0229484785	53883.5559634291	53842.1060719799	53833.7956991548
53903.2991255301	NaN	53581.6680192243	53625.8769332196	53905.835182264	53768.625828682
53715.9309109277	NaN	53923.587702172	53956.4573516697	53563.0188017287	53837.4502319314
53899.0777948097	NaN	NaN	NaN	53930.1560752633	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.5972222222	39019.9479166667	39019.6006944445	39020	39019.9375	39019.9375
39019.9131944445	39020.3923611111	39019.9166666667	39020.3784722222	39020.3784722222	39020.3784722222
39020.3611111111	39020.8333333334	39020.3611111111	39020.8125	39020.6805555556	39020.670138889
39020.8645833334	39021.4513888889	39021.1354166666	39021.0486111111	39021.0069444444	39020.9930555555
39021.21875	39022.3888888889	39021.5069444444	39021.4166666666	39021.3159722222	39021.2638888889
39021.5520833334	NaN	39021.8993055555	39021.9479166666	39021.5694444444	39022.0069444444
39021.9652777778	NaN	39022.2256944444	39022.4201388889	39021.90625	39022.375
39022.3611111111	NaN	NaN	NaN	39022.2986111111	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
