Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
199.089333453836	200.299985520931	198.604884825951	199.940849688897	199.163162590776	200.87435061296
183.906976002782	184.070127198122	184.662047667546	184.72196144174	183.62797451642	184.27599111792
206.772345707169	211.479269602045	206.691588745075	208.114924904036	209.964578610738	208.513500301345
188.421021009677	188.15754097422	188.467336395423	189.685646298191	187.493715281425	187.865390026041
206.59626402899	210.085833624808	207.224081722502	207.622096339595	209.47548518339	207.874751740356
187.57172967426	187.271086714985	187.828869459163	188.913968719413	186.438668947167	186.95011876108
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.5486111111	39019.5381944445	39019.5520833334	39019.5277777779	39019.545138889	39019.53125
39020.0208333334	39020.013888889	39020.013888889	39020.0104166667	39020.013888889	39020.0173611111
39020.5868055556	39020.5868055556	39020.5902777779	39020.5833333334	39020.5833333334	39020.5902777779
39021.0659722222	39021.0590277778	39021.0625	39021.0763888889	39021.0555555555	39021.0590277778
39021.6111111111	39021.6111111111	39021.6180555555	39021.6076388889	39021.6076388889	39021.6006944444
39022.0277777778	39022.0451388889	39022.0243055555	39022.0520833334	39022.0486111111	39022.0347222222
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
