Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
182.416692632623	182.157896655394	183.594371001782	182.270715140245	182.728579498054	182.786071741993
179.840184342884	177.320378375397	179.795843968928	178.273424342899	177.953852981784	179.288169322157
185.726797743057	184.918306300435	186.142015661699	186.220347308437	183.974505764177	185.394607207846
184.647205950463	183.724001787963	185.554987700262	186.241461183249	183.522232106655	183.85517413442
184.746546452948	183.27707793648	185.413503561151	184.506383258639	182.913704955431	183.734550305748
184.853637000112	181.429697914488	184.227978833834	182.111758554384	183.665743838465	183.294512394319
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.8923611111	39019.875	39019.8923611111	39019.8645833334	39019.90625	39019.888888889
39020.2222222222	39020.2361111111	39020.2291666667	39020.2291666667	39020.2256944445	39020.2222222222
39020.8993055556	39020.8923611111	39020.888888889	39020.8854166667	39020.8819444445	39020.8958333334
39021.2395833334	39021.2395833334	39021.2361111111	39021.2465277778	39021.2291666666	39021.2361111111
39021.8819444444	39021.8854166666	39021.8854166666	39021.8854166666	39021.8854166666	39021.8819444444
39022.1944444444	39022.2256944444	39022.2048611111	39022.2326388889	39022.2083333334	39022.2083333334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
