Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
217.192238927293	229.013030881479	229.611971563141	223.127384422693	221.688412267106	224.664710320123
232.781550423813	228.022583271647	232.147585920494	224.875376781024	227.554784946086	224.101340863629
249.274820282624	224.44648636459	227.941276956391	224.966946081164	227.258116520039	238.157112307617
NaN	233.200394780127	236.068638735659	236.744289134063	225.954469039033	245.853784568729
NaN	231.745578658263	234.683331057311	241.959686139467	237.998263077423	NaN
NaN	242.948037498445	237.017152752982	NaN	234.576162906768	NaN
NaN	NaN	NaN	NaN	243.963829546492	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.75	39019.5486111111	39019.5659722222	39019.5590277779	39019.607638889	39020.0520833334
39021.1076388889	39020.0173611111	39019.982638889	39020.0347222222	39020.0104166667	39020.2881944445
39022.0902777778	39020.5069444445	39020.3611111111	39020.3645833334	39020.201388889	39021.1875
NaN	39021.1145833334	39021.1423611111	39021.1666666666	39020.6631944445	39022.2534722222
NaN	39021.4826388889	39021.8854166666	39022.1006944444	39021.1840277778	NaN
NaN	39022.1423611111	39022.1319444444	NaN	39021.6631944444	NaN
NaN	NaN	NaN	NaN	39022.0798611111	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
