Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
205.755362185611	225.947349301788	228.655795842543	218.871762402267	221.668428720812	223.734794090664
215.308101301609	223.341430489679	227.782147979962	224.296518876114	227.03518435032	222.17360029353
232.673457851499	221.320500822745	219.823658689011	224.754979144	219.982408575894	233.858008761286
249.250952707113	230.417593815565	223.809988341245	233.067414682132	225.74211621433	NaN
NaN	227.101353959123	234.651242183384	240.973933630955	229.63668775167	NaN
NaN	NaN	NaN	NaN	234.341572917048	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.5520833334	39019.7604166667	39019.6736111111	39019.7152777779	39019.638888889	39020.1909722222
39019.8680555556	39020.3819444445	39020.2916666667	39020.1805555556	39020.125	39020.4618055556
39021.1805555555	39020.6631944445	39020.6111111111	39020.5173611111	39020.4375	39021.4236111111
39022.125	39021.3506944444	39021.625	39021.6215277778	39020.7291666667	NaN
NaN	39021.65625	39021.9201388889	39022.2881944444	39021.4201388889	NaN
NaN	NaN	NaN	NaN	39021.7534722222	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
