Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
33.5983521041488	33.6088278718142	33.6824963055277	33.6417032614416	33.5919702714925	33.6071047616747
33.6680016488335	33.6693229622209	33.7490388069163	33.7642274336121	33.681194787976	33.6868888794397
33.6252715640812	33.6876758662143	33.6748706731118	33.7032627853937	33.6888094872983	33.679826489876
33.6721383653445	33.8455521906456	33.7610859394616	33.7422167675492	33.7152135173201	33.7668399804602
33.6906847888944	NaN	33.7706870064384	33.7852362443898	33.6899284539493	33.8423341286196
33.7469547314809	NaN	33.8505008996822	33.900340304409	33.7904260476753	NaN
33.8595309827324	NaN	NaN	NaN	33.9200187804982	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.71875	39019.7048611111	39019.71875	39019.6979166667	39019.6979166667	39019.7291666667
39020.1493055556	39020.21875	39020.1423611111	39020.21875	39020.2048611111	39020.1909722222
39020.6875	39021.2847222222	39020.6006944445	39020.9340277779	39020.8298611111	39020.8993055556
39021.0347222222	39022.1388888889	39021.3854166666	39021.2569444444	39021.2013888889	39021.8576388889
39021.4097222222	NaN	39021.6875	39021.7777777778	39021.4513888889	39022.1805555555
39021.78125	NaN	39022.1215277778	39022.1736111111	39021.7361111111	NaN
39022.1909722222	NaN	NaN	NaN	39022.1145833334	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
