Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-69.5149034025707	-69.4902430972777	-70.7729710915579	-69.2747423818253	-69.0157048371124	-70.1306691204873
-69.2453992013915	-68.9668656606156	-69.7990251569786	-68.9951530440905	-68.671163852942	-69.5302650456237
-70.0263271539132	-70.0202546494721	-69.9136236977818	-70.0378703759298	-69.8024951163523	-70.0254335386685
-69.9960889180312	-70.0501507988588	-69.720002704818	-70.2945732942433	-70.1832520466391	-69.8954623821178
-69.5425233079866	-69.4226552660741	-68.6613826970234	-69.5882761255791	-69.8766965619548	-69.2487497157632
-69.5907405916806	-69.0552083337944	-68.2992661596798	-69.472420801694	-70.1581978254755	-69.3107272475316
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39019.8715277779	39019.857638889	39019.888888889	39019.8402777779	39019.8784722222	39019.8715277779
39020.2673611111	39020.263888889	39020.2708333334	39020.25	39020.2395833334	39020.2708333334
39020.8680555556	39020.8680555556	39020.875	39020.8506944445	39020.84375	39020.8715277779
39021.2569444444	39021.2569444444	39021.2534722222	39021.2604166666	39021.2465277778	39021.2708333334
39021.8680555555	39021.8819444444	39021.8888888889	39021.8819444444	39021.875	39021.875
39022.2256944444	39022.2673611111	39022.2604166666	39022.2465277778	39022.25	39022.2604166666
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
